,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Punting,Punting,Punting,Kick Ret,Kick Ret,Kick Ret,Kick Ret,Punt Ret,Punt Ret,Punt Ret,Punt Ret
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,2,4.5,5.0,90.0,1.0,1.5,66.7,7.5,4.0,157.0,39.3,1.5,22.5,15.0,0.0,1.0,4.5,4.5,0.0
2,Akron,3,3.0,3.0,100.0,0.3,0.3,100.0,4.0,7.0,267.7,38.2,2.0,42.3,21.2,0.0,0.3,1.3,4.0,0.0
3,Alabama,3,3.7,3.7,100.0,2.3,3.3,70.0,10.7,3.7,145.3,39.6,1.3,25.3,19.0,0.0,1.3,13.3,10.0,0.0
4,Appalachian State,3,3.3,3.3,100.0,1.3,1.3,100.0,7.3,5.7,229.7,40.5,2.0,49.3,24.7,0.0,2.3,14.0,6.0,0.0
5,Arizona,3,6.0,6.3,94.7,1.0,1.3,75.0,9.0,3.7,139.3,38.0,2.0,51.7,25.8,0.0,2.0,46.7,23.3,0.7
6,Arizona State,3,4.0,4.3,92.3,0.7,1.3,50.0,6.0,4.7,171.0,36.6,2.0,55.3,27.7,0.0,1.3,6.7,5.0,0.0
7,Arkansas,2,4.0,4.0,100.0,0.0,1.0,0.0,4.0,4.0,161.5,40.4,2.0,35.0,17.5,0.0,0.0,0.0,,0.0
8,Arkansas State,2,5.0,5.5,90.9,1.0,1.5,66.7,8.0,5.0,191.5,38.3,2.0,40.0,20.0,0.0,2.0,49.5,24.8,0.5
9,Army,3,3.7,4.0,91.7,0.3,1.0,33.3,4.7,2.3,92.3,39.6,3.7,86.7,23.6,0.0,0.0,0.0,,0.0
10,Auburn,3,2.7,2.7,100.0,1.7,2.7,62.5,7.7,3.7,146.3,39.9,1.3,24.0,18.0,0.0,2.3,26.0,11.1,0.0
11,Ball State,3,4.3,4.7,92.9,0.3,1.3,25.0,5.3,3.0,124.7,41.6,1.7,64.0,38.4,0.3,2.0,29.0,14.5,0.0
12,Baylor,3,3.0,3.3,90.0,0.7,0.7,100.0,5.0,5.7,259.0,45.7,2.0,32.3,16.2,0.0,0.3,0.3,1.0,0.0
13,Boise State,3,4.0,4.0,100.0,1.3,1.3,100.0,8.0,5.0,207.0,41.4,2.3,62.3,26.7,0.0,3.3,52.0,15.6,0.3
14,Boston College,3,1.7,1.7,100.0,2.0,2.0,100.0,7.7,7.7,302.7,39.5,4.3,102.3,23.6,0.0,2.3,24.0,10.3,0.0
15,Bowling Green State,3,1.0,1.0,100.0,1.7,1.7,100.0,6.0,7.7,351.7,45.9,4.7,75.0,16.1,0.0,1.7,13.3,8.0,0.0
16,Brigham Young,4,0.8,0.8,100.0,1.0,1.5,66.7,3.8,5.5,235.5,42.8,2.8,57.3,20.8,0.0,1.0,-1.3,-1.3,0.0
17,Buffalo,3,2.0,2.3,85.7,1.0,1.7,60.0,5.0,4.3,180.3,41.6,2.0,32.7,16.3,0.0,1.0,6.3,6.3,0.0
18,California,3,3.7,4.0,91.7,1.3,2.3,57.1,7.7,4.7,203.0,43.5,3.3,60.0,18.0,0.0,0.0,0.0,,0.0
19,Central Michigan,3,3.0,3.0,100.0,1.7,2.0,83.3,8.0,8.0,361.0,45.1,3.3,57.7,17.3,0.0,0.7,4.3,6.5,0.0
20,Charlotte,3,1.3,1.7,80.0,0.3,0.7,50.0,2.3,7.0,301.3,43.0,5.3,119.7,22.4,0.0,1.3,6.0,4.5,0.0
21,Cincinnati,3,1.7,2.0,83.3,0.7,1.7,40.0,3.7,6.7,265.3,39.8,2.0,38.7,19.3,0.0,2.3,16.0,6.9,0.0
22,Clemson,3,5.0,5.3,93.8,0.7,1.3,50.0,7.0,4.0,187.0,46.8,1.3,24.3,18.3,0.0,3.7,17.3,4.7,0.0
23,Coastal Carolina,2,3.0,3.0,100.0,1.5,2.5,60.0,7.5,4.0,155.5,38.9,4.0,73.0,18.3,0.0,3.5,46.5,13.3,0.0
24,Colorado,3,3.7,3.7,100.0,2.0,2.3,85.7,9.7,5.0,219.0,43.8,0.0,0.0,,0.0,2.0,38.3,19.2,0.3
25,Colorado State,4,3.5,3.5,100.0,1.5,1.5,100.0,8.0,3.0,143.8,47.9,1.8,47.8,27.3,0.0,0.5,3.5,7.0,0.0
26,Connecticut,2,1.5,2.0,75.0,0.0,0.0,,1.5,3.5,136.5,39.0,3.5,93.5,26.7,0.0,1.5,13.0,8.7,0.0
27,Duke,3,5.3,5.7,94.1,1.7,2.0,83.3,10.3,4.7,181.0,38.8,2.3,55.0,23.6,0.0,2.3,2.3,1.0,0.0
28,East Carolina,3,2.0,2.0,100.0,1.0,2.0,50.0,5.0,5.0,208.3,41.7,4.3,87.0,20.1,0.0,0.7,0.0,0.0,0.0
29,Eastern Michigan,2,2.0,2.0,100.0,2.0,2.5,80.0,8.0,7.0,258.0,36.9,2.0,30.0,15.0,0.0,2.5,18.0,7.2,0.0
30,Florida,2,2.0,2.0,100.0,1.5,2.0,75.0,6.5,5.5,276.0,50.2,3.0,67.0,22.3,0.0,1.0,7.0,7.0,0.0
31,Florida Atlantic,3,3.0,3.0,100.0,1.0,1.0,100.0,6.0,6.3,251.3,39.7,2.3,21.7,9.3,0.0,1.3,3.3,2.5,0.0
32,Florida International,2,2.0,2.0,100.0,1.0,1.5,66.7,5.0,5.0,202.5,40.5,3.5,82.5,23.6,0.0,1.0,0.0,0.0,0.0
33,Florida State,1,1.0,1.0,100.0,0.0,1.0,0.0,1.0,6.0,189.0,31.5,2.0,20.0,10.0,0.0,0.0,0.0,,0.0
34,Fresno State,3,3.3,3.3,100.0,2.0,2.3,85.7,9.3,4.7,196.7,42.1,5.0,106.3,21.3,0.0,2.0,21.7,10.8,0.0
35,Georgia,3,4.0,4.0,100.0,1.0,1.3,75.0,7.0,5.0,221.3,44.3,2.3,59.0,25.3,0.0,2.0,11.7,5.8,0.0
36,Georgia Southern,2,1.0,1.0,100.0,0.5,1.5,33.3,2.5,7.0,266.5,38.1,2.5,53.5,21.4,0.0,0.5,4.0,8.0,0.0
37,Georgia State,2,0.5,0.5,100.0,0.5,1.0,50.0,2.0,5.0,183.5,36.7,2.5,38.0,15.2,0.0,1.5,5.5,3.7,0.0
38,Georgia Tech,2,4.5,5.0,90.0,0.5,1.5,33.3,6.0,3.0,129.0,43.0,2.0,19.5,9.8,0.0,2.5,6.0,2.4,0.0
39,Hawaii,3,4.3,4.7,92.9,0.3,1.0,33.3,5.3,3.0,114.0,38.0,4.7,104.3,22.4,0.0,0.7,1.0,1.5,0.0
40,Houston,2,3.5,3.5,100.0,1.0,2.0,50.0,6.5,4.5,190.5,42.3,1.5,70.0,46.7,0.0,2.0,6.0,3.0,0.0
