,,,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
45,Iowa,Big Ten (West),2,0,1.000,,,,34.0,22.0,35.00,21.00,,,,
46,Minnesota,Big Ten (West),2,0,1.000,,,,32.5,10.5,27.65,10.65,,,,
47,Wisconsin,Big Ten (West),2,0,1.000,,,,45.0,12.0,40.30,19.80,9,9,9,
48,Nebraska,Big Ten (West),1,1,.500,,,,39.0,39.0,16.99,16.99,,,,
49,Northwestern,Big Ten (West),1,1,.500,,,,24.0,30.5,8.80,15.30,,,,
50,Purdue,Big Ten (West),1,1,.500,,,,36.0,28.0,34.98,26.98,,,,
51,Old Dominion,CUSA (East),2,0,1.000,,,,24.0,12.0,15.20,3.20,,,,
52,Florida International,CUSA (East),1,1,.500,,,,17.0,35.5,7.00,15.50,,,,
53,Marshall,CUSA (East),1,1,.500,,,,25.5,31.5,24.64,29.64,,,,
54,Middle Tennessee State,CUSA (East),1,1,.500,,,,18.0,25.5,16.50,24.00,,,,
55,Western Kentucky,CUSA (East),1,1,.500,,,,19.0,18.5,18.80,18.30,,,,
56,Charlotte,CUSA (East),0,2,.000,,,,7.0,39.5,-0.67,19.83,,,,
57,Florida Atlantic,CUSA (East),0,2,.000,,,,16.5,36.5,19.48,39.48,,,,
58,Rice,CUSA (West),1,1,.500,1,0,1.000,19.0,38.0,14.88,18.38,,,,
59,UTEP,CUSA (West),0,2,.000,0,1,.000,10.5,43.5,7.46,27.96,,,,
60,UTSA,CUSA (West),1,0,1.000,,,,17.0,10.0,0.00,-7.00,,,,
61,Louisiana Tech,CUSA (West),1,1,.500,,,,36.5,40.5,16.00,16.00,,,,
62,North Texas,CUSA (West),1,1,.500,,,,45.5,34.0,16.67,15.67,,,,
63,Southern Mississippi,CUSA (West),1,1,.500,,,,31.0,12.0,17.33,8.83,,,,
64,UAB,CUSA (West),1,1,.500,,,,34.5,29.0,19.20,17.20,,,,
65,Massachusetts,Ind,0,3,.000,,,,23.3,31.0,6.40,15.40,,,,
66,Army,Ind,2,0,1.000,,,,42.5,11.5,24.22,8.72,,,,
67,Notre Dame,Ind,1,1,.500,,,,34.0,18.0,33.80,25.30,24,,24,
68,Brigham Young,Ind,1,2,.333,,,,11.0,17.3,10.50,16.17,,,,
69,Akron,MAC (East),1,1,.500,,,,26.0,27.5,18.50,18.50,,,,
70,Kent State,MAC (East),1,1,.500,,,,20.5,43.5,5.20,13.70,,,,
71,Miami (OH),MAC (East),1,1,.500,,,,28.5,20.5,19.32,12.32,,,,
72,Ohio,MAC (East),1,1,.500,,,,40.0,22.0,17.99,17.49,,,,
73,Bowling Green State,MAC (East),0,2,.000,,,,18.5,35.0,-2.05,13.96,,,,
74,Buffalo,MAC (East),0,2,.000,,,,12.0,19.0,17.43,25.93,,,,
75,Central Michigan,MAC (West),2,0,1.000,,,,37.5,27.0,18.00,5.50,,,,
76,Eastern Michigan,MAC (West),2,0,1.000,,,,20.0,10.0,15.98,3.98,,,,
77,Toledo,MAC (West),2,0,1.000,,,,42.0,18.5,19.60,1.10,,,,
78,Ball State,MAC (West),1,1,.500,,,,36.0,27.5,34.40,27.90,,,,
79,Northern Illinois,MAC (West),1,1,.500,,,,29.0,16.5,16.25,7.75,,,,
80,Western Michigan,MAC (West),0,2,.000,,,,22.5,38.5,20.26,36.26,,,,
81,Air Force,MWC (Mountain),1,0,1.000,,,,62.0,0.0,24.00,0.00,,,,
82,Colorado State,MWC (Mountain),2,1,.667,,,,33.0,18.0,24.94,13.61,,,,
83,Boise State,MWC (Mountain),1,1,.500,,,,34.0,30.0,26.00,24.00,,,,
84,New Mexico,MWC (Mountain),1,1,.500,,,,33.0,22.0,18.60,10.10,,,,
85,Utah State,MWC (Mountain),1,1,.500,,,,30.5,36.0,20.16,20.16,,,,
86,Wyoming,MWC (Mountain),1,1,.500,,,,15.0,12.0,19.00,17.50,,,,
87,San Diego State,MWC (West),2,0,1.000,,,,34.0,18.5,26.40,10.90,,,,
88,Hawaii,MWC (West),2,1,.667,,,,34.0,36.3,14.60,12.60,,,,
89,Fresno State,MWC (West),1,1,.500,,,,38.0,20.5,23.99,23.99,,,,
90,Nevada-Las Vegas,MWC (West),1,1,.500,,,,42.0,29.5,10.67,2.17,,,,
91,San Jose State,MWC (West),1,2,.333,,,,18.7,37.0,8.00,15.67,,,,
92,Nevada,MWC (West),0,2,.000,,,,22.0,34.0,2.20,14.20,,,,
93,Stanford,Pac-12 (North),1,1,.500,0,1,.000,43.0,24.5,33.63,30.63,14,14,14,
94,California,Pac-12 (North),2,0,1.000,,,,34.0,25.0,18.99,8.99,,,,
95,Oregon,Pac-12 (North),2,0,1.000,,,,59.5,28.0,23.99,8.49,,,,
