,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Punting,Punting,Punting,Kick Ret,Kick Ret,Kick Ret,Kick Ret,Punt Ret,Punt Ret,Punt Ret,Punt Ret
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
72,North Carolina State,13,3.2,3.5,93.3,0.7,1.3,52.9,5.3,4.1,165.2,40.5,2.8,66.0,23.2,0.1,1.2,10.2,8.8,0.0
73,North Texas,13,3.2,3.2,100.0,0.7,1.0,69.2,5.2,5.6,242.2,43.1,3.7,72.1,19.5,0.0,1.4,12.5,9.1,0.0
74,Northern Illinois,12,3.8,3.8,97.8,0.9,1.5,61.1,6.5,5.9,229.5,38.8,3.8,86.2,23.0,0.1,1.4,5.8,4.1,0.0
75,Northwestern,13,3.2,3.3,97.7,0.6,0.9,66.7,5.1,5.8,232.4,40.3,2.2,51.6,23.1,0.1,1.5,10.2,6.6,0.0
76,Notre Dame,12,3.7,3.8,95.7,1.1,1.4,76.5,6.9,4.8,202.3,42.6,3.2,73.1,23.1,0.2,1.8,15.9,9.1,0.0
77,Ohio,14,2.5,2.7,92.1,2.1,2.5,82.9,8.7,5.1,206.8,40.8,3.0,63.2,21.1,0.0,1.4,6.4,4.7,0.0
78,Ohio State,13,4.8,5.0,96.9,1.3,1.7,77.3,8.8,4.3,201.1,46.7,2.2,52.5,24.4,0.0,2.1,10.1,4.9,0.0
79,Oklahoma,13,5.5,5.7,97.3,0.8,1.2,68.8,8.1,3.7,151.9,41.1,2.7,62.7,23.3,0.1,0.9,9.4,10.2,0.1
80,Oklahoma State,13,4.6,4.8,96.8,1.5,2.0,76.9,9.2,4.5,189.1,41.7,2.1,42.8,20.6,0.0,1.1,11.7,10.9,0.0
81,Old Dominion,13,4.0,4.3,92.9,0.9,1.1,85.7,6.8,4.5,169.1,37.3,3.1,67.8,22.0,0.0,1.7,15.7,9.3,0.0
82,Ole Miss,12,3.4,3.6,95.3,1.8,1.9,95.7,8.9,4.5,193.6,43.0,3.1,69.9,22.7,0.0,0.8,5.0,6.0,0.0
83,Oregon,12,3.5,3.6,97.7,0.8,1.0,75.0,5.8,4.9,186.1,37.8,3.8,88.8,23.7,0.1,1.7,12.6,7.6,0.0
84,Oregon State,12,3.1,3.2,97.4,0.9,1.5,61.1,5.8,5.4,220.3,40.7,3.0,70.2,23.4,0.1,1.8,10.5,6.0,0.0
85,Penn State,14,4.4,4.4,100.0,1.6,1.7,91.7,9.1,4.6,191.9,42.0,3.5,68.9,19.7,0.0,2.1,13.9,6.5,0.0
86,Pitt,13,5.1,5.3,95.7,0.8,1.3,58.8,7.4,4.3,183.5,42.6,3.0,79.8,26.6,0.2,1.3,19.5,14.9,0.1
87,Purdue,12,2.9,3.0,97.2,0.8,1.2,71.4,5.4,4.7,189.8,40.7,3.4,69.7,20.4,0.0,1.0,7.6,7.6,0.0
88,Rice,12,2.8,3.0,91.7,0.7,1.0,66.7,4.8,6.6,261.3,39.7,2.8,54.0,19.6,0.0,1.5,3.9,2.6,0.0
89,Rutgers,12,1.7,1.8,90.9,0.8,1.2,71.4,4.2,8.0,298.7,37.3,3.4,65.1,19.0,0.1,1.8,14.0,7.6,0.1
90,San Diego State,14,4.0,4.1,96.6,1.5,1.6,91.3,8.5,4.5,185.9,41.3,2.5,70.3,28.1,0.2,2.1,19.4,9.0,0.0
91,San Jose State,12,2.6,2.8,93.9,1.3,1.5,88.9,6.6,5.2,225.3,43.6,3.7,71.3,19.4,0.0,1.2,7.6,6.5,0.0
92,SMU,12,3.2,3.3,97.4,1.5,2.0,75.0,7.7,5.9,234.4,39.6,4.4,77.8,17.6,0.0,1.1,4.0,3.7,0.0
93,South Alabama,13,3.2,3.2,100.0,0.8,1.2,62.5,5.5,5.1,212.1,41.8,2.6,51.8,19.8,0.1,1.3,5.5,4.2,0.0
94,South Carolina,13,2.4,2.4,100.0,1.0,1.3,76.5,5.4,5.7,242.3,42.6,2.5,63.5,25.8,0.1,1.1,6.8,6.4,0.0
95,South Florida,13,5.8,5.8,98.7,0.8,1.0,76.9,8.1,4.8,199.8,41.2,3.5,65.9,19.0,0.0,1.8,18.3,9.9,0.1
96,Southern Mississippi,13,3.8,4.0,96.2,1.2,1.4,83.3,7.3,4.2,182.4,43.9,4.2,73.8,17.8,0.0,2.1,19.4,9.3,0.1
97,Stanford,13,2.6,2.6,100.0,1.7,2.1,81.5,7.7,4.2,178.8,43.0,2.9,43.4,14.8,0.0,0.9,6.5,7.1,0.0
98,Syracuse,12,3.0,3.3,92.3,0.8,1.5,55.6,5.5,6.7,281.8,42.3,5.3,107.8,20.2,0.0,1.5,26.1,17.4,0.0
99,Temple,14,3.7,3.8,98.1,1.8,2.1,86.2,9.1,3.8,147.5,39.0,2.0,43.8,21.9,0.0,1.3,13.6,10.6,0.0
100,Tennessee,13,4.8,4.8,100.0,0.8,1.2,68.8,7.3,5.4,240.0,44.6,3.2,80.4,24.9,0.1,2.5,28.2,11.1,0.1
101,Texas,12,3.3,3.7,90.9,1.4,2.0,70.8,7.6,5.5,259.6,47.2,3.5,64.4,18.4,0.0,2.3,15.2,6.5,0.0
102,Texas A&M,13,4.2,4.2,100.0,1.3,1.8,70.8,8.1,5.5,235.1,43.0,3.2,74.4,23.6,0.0,1.1,27.3,25.4,0.3
103,Texas Christian,13,3.6,3.8,95.9,1.4,1.9,72.0,7.8,5.5,219.3,39.6,3.3,78.8,23.8,0.0,1.8,17.5,9.9,0.1
104,Texas State,12,2.2,2.3,92.9,0.6,0.8,70.0,3.9,7.1,293.2,41.4,4.6,76.8,16.8,0.0,1.8,17.1,9.8,0.0
105,Texas Tech,12,5.4,5.8,92.9,1.1,1.2,92.9,8.7,3.8,146.6,38.2,2.3,40.8,17.5,0.0,1.6,14.3,9.0,0.0
106,Toledo,13,4.7,4.8,98.4,1.0,1.5,68.4,7.7,4.2,179.1,43.1,3.8,71.5,18.6,0.0,1.8,18.2,9.9,0.1
107,Troy,13,3.8,4.0,96.2,1.4,1.8,78.3,8.0,5.3,216.9,40.9,2.8,63.9,22.5,0.1,1.8,15.3,8.3,0.0
108,Tulane,12,2.8,2.8,97.1,0.8,1.3,62.5,5.3,6.1,240.7,39.6,2.7,59.3,22.3,0.1,1.3,5.2,4.1,0.0
109,Tulsa,13,5.2,5.2,100.0,1.6,2.0,80.8,10.0,4.9,205.5,41.8,3.1,62.3,20.3,0.0,1.9,17.2,9.0,0.0
110,UCF,13,3.0,3.2,95.1,1.3,1.7,77.3,6.9,6.2,255.9,41.1,3.1,64.5,21.0,0.1,2.1,15.6,7.5,0.0
111,UCLA,12,3.0,3.0,100.0,1.1,1.8,59.1,6.3,6.1,238.4,39.2,3.3,70.3,21.1,0.0,2.3,13.3,5.7,0.0
112,UNLV,12,3.8,3.8,100.0,1.2,1.3,93.3,7.3,5.8,235.7,40.4,5.3,101.0,18.9,0.0,1.0,-0.1,-0.1,0.0
113,USC,13,4.1,4.2,98.1,1.4,1.9,72.0,8.2,3.8,147.5,38.3,3.1,71.5,23.2,0.2,2.1,31.8,15.3,0.2
114,Utah,13,3.3,3.3,100.0,1.6,1.9,84.0,8.2,4.9,234.8,47.7,2.1,48.7,23.4,0.1,2.8,21.0,7.6,0.1
115,Utah State,12,2.9,3.0,97.2,1.0,1.4,70.6,5.9,5.3,195.7,37.3,3.0,56.7,18.9,0.0,1.7,10.0,6.0,0.0
116,UTEP,12,3.3,3.3,97.5,0.4,0.6,71.4,4.5,5.3,211.8,40.3,3.7,67.4,18.4,0.0,1.9,18.1,9.4,0.0
117,UTSA,13,3.3,3.5,95.6,0.9,1.3,70.6,6.1,5.3,222.9,42.0,2.8,65.1,22.9,0.0,1.8,11.6,6.6,0.0
118,Vanderbilt,13,2.8,2.8,100.0,1.2,1.5,78.9,6.2,5.6,224.8,40.0,2.8,65.4,23.6,0.0,1.4,10.6,7.7,0.0
119,Virginia,12,2.3,2.5,93.3,0.4,0.8,50.0,3.6,6.2,273.3,44.3,3.1,72.1,23.4,0.0,1.8,17.9,9.8,0.0
120,Virginia Tech,14,4.1,4.2,98.3,1.4,2.0,71.4,8.4,5.0,194.1,38.8,3.1,67.4,21.4,0.0,3.1,24.5,8.0,0.1
121,Wake Forest,13,2.2,2.2,100.0,1.6,2.1,77.8,7.0,6.4,264.5,41.4,2.6,49.8,19.0,0.0,1.7,5.4,3.2,0.0
122,Washington,14,5.4,5.4,98.7,1.1,1.4,80.0,8.8,3.9,159.9,40.7,2.2,46.4,21.0,0.1,1.9,20.9,11.2,0.1
123,Washington State,13,4.8,5.0,96.9,0.7,1.2,60.0,6.9,3.6,143.2,39.6,2.8,59.1,20.8,0.1,1.6,21.8,13.5,0.1
124,West Virginia,13,3.9,3.9,100.0,1.2,1.8,66.7,7.6,4.5,189.4,41.7,2.5,52.1,21.2,0.0,1.6,3.0,1.9,0.0
125,Western Kentucky,14,5.6,5.7,97.5,1.5,2.1,70.0,10.1,2.9,121.3,42.5,3.4,91.4,26.7,0.1,1.1,19.2,17.9,0.1
126,Western Michigan,14,5.1,5.2,97.3,1.4,1.7,79.2,9.1,3.1,127.9,40.7,3.1,63.9,20.8,0.1,1.4,16.1,11.3,0.1
127,Wisconsin,14,3.2,3.4,95.7,1.4,1.9,74.1,7.5,4.7,176.6,37.5,1.9,36.8,19.8,0.0,1.5,10.2,6.8,0.0
128,Wyoming,14,4.6,4.6,100.0,0.9,1.4,65.0,7.4,5.0,206.5,41.3,2.3,51.9,22.7,0.0,2.2,14.5,6.5,0.1
