,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
42,Jacob Park\jacob-park-1,Iowa State,Big 12,3,76,114,66.7,935,8.2,8.8,8,2,155.2,6,44,7.3,1
43,Kyle Allen\kyle-allen-1,Houston,American,2,56,65,86.2,534,8.2,7.8,3,2,164.2,7,-13,-1.9,0
44,Dru Brown\dru-brown-1,Hawaii,MWC,3,59,97,60.8,772,8.0,7.5,7,4,143.2,14,9,0.6,1
45,Nathan Stanley\nathan-stanley-2,Iowa,Big Ten,3,51,83,61.4,655,7.9,9.8,10,1,165.1,8,-26,-3.3,0
46,Tyree Jackson\tyree-jackson-1,Buffalo,MAC,3,40,74,54.1,588,7.9,8.1,3,1,131.5,29,189,6.5,2
47,Brogan Roback\brogan-roback-1,Eastern Michigan,MAC,2,41,67,61.2,527,7.9,7.5,1,1,129.2,8,0,0.0,0
48,Riley Ferguson\riley-ferguson-1,Memphis,American,2,33,63,52.4,495,7.9,8.3,6,2,143.5,7,5,0.7,1
49,Jake Fromm\jake-fromm-1,Georgia,SEC,3,34,57,59.6,449,7.9,8.8,5,1,151.3,10,4,0.4,0
50,Ryan Finley\ryan-finley-1,North Carolina State,ACC,3,96,127,75.6,987,7.8,8.7,6,0,156.5,12,14,1.2,1
51,Tyler Huntley\tyler-huntley-1,Utah,Pac-12,3,80,111,72.1,868,7.8,7.9,5,2,149.0,51,212,4.2,3
52,Daniel Parr\daniel-parr-1,Florida Atlantic,CUSA,3,43,75,57.3,588,7.8,7.7,4,2,135.5,24,30,1.3,2
53,Nick Fitzgerald\nick-fitzgerald-2,Mississippi State,SEC,3,43,70,61.4,543,7.8,9.1,7,1,156.7,31,240,7.7,5
54,Feleipe Franks\feleipe-franks-1,Florida,SEC,2,23,37,62.2,287,7.8,7.6,2,1,139.8,11,-9,-0.8,0
55,Malik Rosier\malik-rosier-1,Miami (FL),ACC,1,17,28,60.7,217,7.8,9.9,3,0,161.2,4,41,10.3,0
56,Ben Hicks\ben-hicks-1,SMU,American,3,46,95,48.4,729,7.7,7.9,8,3,134.4,5,-13,-2.6,0
57,Justice Hansen\justice-hansen-1,Arkansas State,Sun Belt,2,70,99,70.7,751,7.6,8.3,8,2,157.1,12,1,0.1,0
58,Jake Bentley\jake-bentley-2,South Carolina,SEC,3,59,93,63.4,706,7.6,7.4,6,3,142.0,16,25,1.6,0
59,Brian Lewerke\brian-lewerke-1,Michigan State,Big Ten,2,35,54,64.8,411,7.6,8.3,4,1,149.5,17,150,8.8,2
60,Nick Stevens\nick-stevens-1,Colorado State,MWC,4,96,164,58.5,1232,7.5,6.8,8,6,130.4,14,60,4.3,1
61,Gardner Minshew\gardner-minshew-1,East Carolina,American,3,25,61,41.0,460,7.5,7.0,3,2,114.0,6,-19,-3.2,0
62,Blake LaRussa\blake-larussa-1,Old Dominion,CUSA,3,28,48,58.3,358,7.5,5.5,2,3,122.2,7,30,4.3,0
63,Shane Morris\shane-morris-1,Central Michigan,MAC,3,75,131,57.3,972,7.4,7.6,8,3,135.2,18,63,3.5,0
64,Luke Falk\luke-falk-1,Washington State,Pac-12,3,94,122,77.0,900,7.4,8.5,9,1,161.7,10,-19,-1.9,0
65,J'mar Smith\jmar-smith-1,Louisiana Tech,CUSA,3,50,97,51.5,722,7.4,7.1,3,2,120.2,24,73,3.0,0
66,Jarrett Stidham\jarrett-stidham-1,Auburn,SEC,3,59,85,69.4,628,7.4,6.8,2,2,134.5,34,-2,-0.1,1
67,Wilton Speight\wilton-speight-1,Michigan,Big Ten,3,42,77,54.5,571,7.4,7.0,3,2,124.5,12,-25,-2.1,0
68,J.T. Barrett\jt-barrett-1,Ohio State,Big Ten,3,64,103,62.1,757,7.3,7.9,5,1,137.9,38,159,4.2,2
69,Chad President\chad-president-1,Tulsa,American,3,44,75,58.7,546,7.3,7.5,1,0,124.2,28,214,7.6,4
70,A.J. Erdely\aj-erdely-1,UAB,CUSA,3,33,58,56.9,422,7.3,8.0,2,0,129.4,43,142,3.3,5
71,Montell Cozart\montell-cozart-1,Boise State,MWC,3,33,48,68.8,348,7.3,8.4,5,1,159.9,31,179,5.8,2
72,Logan Marchi\logan-marchi-1,Temple,American,3,61,106,57.5,767,7.2,8.2,5,0,133.9,12,-19,-1.6,0
73,Quinten Dormady\quinten-dormady-1,Tennessee,SEC,3,54,94,57.4,674,7.2,6.3,5,4,126.7,8,2,0.3,0
74,Tyler Rodgers\tyler-rodgers-1,New Mexico State,Sun Belt,3,106,159,66.7,1130,7.1,7.5,10,3,143.3,16,13,0.8,1
75,Peyton Bender\peyton-bender-1,Kansas,Big 12,3,85,146,58.2,1030,7.1,6.3,6,5,124.2,11,-58,-5.3,0
76,Ross Bowers\ross-bowers-1,California,Pac-12,3,68,113,60.2,799,7.1,6.4,5,4,127.1,15,-15,-1.0,0
77,Christian Chapman\christian-chapman-1,San Diego State,MWC,3,46,68,67.6,480,7.1,7.6,4,1,143.4,18,-44,-2.4,0
78,Eric Dungey\eric-dungey-1,Syracuse,ACC,3,73,113,64.6,787,7.0,7.1,5,2,134.2,39,209,5.4,4
79,Brandon Silvers\brandon-silvers-2,Troy,Sun Belt,3,74,114,64.9,770,6.8,6.1,1,2,121.0,12,46,3.8,1
80,Jordan Davis\jordan-davis-5,Louisiana-Lafayette,Sun Belt,3,60,98,61.2,668,6.8,6.0,5,4,127.2,30,112,3.7,2
81,Gus Ragland\gus-ragland-1,Miami (OH),MAC,3,50,97,51.5,664,6.8,7.2,6,2,125.3,31,17,0.5,1
82,Kurt Benkert\kurt-benkert-1,Virginia,ACC,3,96,145,66.2,976,6.7,7.4,7,1,137.3,9,-7,-0.8,0
83,Chase Litton\chase-litton-1,Marshall,CUSA,3,69,116,59.5,781,6.7,6.3,4,3,122.2,5,6,1.2,1
84,Mike White\mike-white-6,Western Kentucky,CUSA,3,73,109,67.0,728,6.7,6.4,1,1,124.3,13,-35,-2.7,2
85,Daniel Jones\daniel-jones-4,Duke,ACC,3,68,105,64.8,702,6.7,6.6,4,2,129.7,31,154,5.0,3
86,Riley Neal\riley-neal-1,Ball State,MAC,3,67,99,67.7,659,6.7,6.5,6,3,137.5,24,67,2.8,0
87,Brandon Dawkins\brandon-dawkins-2,Arizona,Pac-12,3,42,63,66.7,422,6.7,8.0,4,0,143.9,34,261,7.7,5
88,Tanner Lee\tanner-lee-1,Nebraska,Big Ten,3,63,120,52.5,789,6.6,4.8,5,7,109.8,11,-38,-3.5,2
89,Kent Myers\kent-myers-1,Utah State,MWC,3,58,90,64.4,596,6.6,4.6,2,5,116.3,18,100,5.6,2
90,Austin Allen\austin-allen-1,Arkansas,SEC,2,23,42,54.8,273,6.5,6.4,2,1,120.3,11,30,2.7,0
91,Tyler Hilinski\tyler-hilinski-1,Washington State,Pac-12,3,37,51,72.5,325,6.4,6.7,3,1,141.6,4,-36,-9.0,0
92,Deondre Francois\deondre-francois-1,Florida State,ACC,1,19,33,57.6,210,6.4,4.2,1,2,108.9,9,-9,-1.0,0
93,Jake Luton\jake-luton-1,Oregon State,Pac-12,4,83,135,61.5,853,6.3,5.6,4,4,118.4,17,27,1.6,0
94,Chason Virgil\chason-virgil-1,Fresno State,MWC,3,48,83,57.8,524,6.3,6.0,3,2,118.0,5,7,1.4,0
95,Conner Manning\conner-manning-1,Georgia State,Sun Belt,2,30,46,65.2,292,6.3,3.4,0,3,105.5,6,0,0.0,0
96,Damian Williams\damian-williams-3,Texas State,Sun Belt,3,47,79,59.5,490,6.2,4.7,1,3,108.2,38,93,2.4,1
97,Kellen Mond\kellen-mond-1,Texas A&M,SEC,3,36,72,50.0,433,6.0,6.5,4,1,116.1,25,48,1.9,1
98,James Morgan\james-morgan-1,Bowling Green State,MAC,3,45,106,42.5,622,5.9,5.4,2,2,94.2,13,-26,-2.0,0
99,Josh Allen\josh-allen-7,Wyoming,MWC,3,54,96,56.3,566,5.9,4.9,2,3,106.4,16,15,0.9,1
