,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
153,Joey Magnifico\joey-magnifico-1,Memphis,American,2,7,103,14.7,1,0,0,,0,7,103,14.7,1
154,Will Dissly\will-dissly-1,Washington,Pac-12,2,6,88,14.7,2,0,0,,0,6,88,14.7,2
155,Calvin Ridley\calvin-ridley-1,Alabama,SEC,3,15,219,14.6,2,1,13,13.0,0,16,232,14.5,2
156,Parris Campbell\parris-campbell-1,Ohio State,Big Ten,3,15,217,14.5,1,3,32,10.7,0,18,249,13.8,1
157,A.J. Coney\aj-coney-1,Akron,MAC,3,8,116,14.5,1,0,0,,0,8,116,14.5,1
158,Dimitri Flowers\dmitri-flowers-1,Oklahoma,Big 12,2,8,116,14.5,1,2,5,2.5,1,10,121,12.1,2
159,Marquez Valdes-Scantling\marquez-valdes-scantling-1,South Florida,American,3,14,202,14.4,2,1,3,3.0,0,15,205,13.7,2
160,Kyle Williams\kyle-williams-8,Arizona State,Pac-12,3,14,200,14.3,2,0,0,,0,14,200,14.3,2
161,Ben Johnson\ben-johnson-2,Kansas,Big 12,3,12,172,14.3,1,0,0,,0,12,172,14.3,1
162,Jalen Virgil\jalen-virgil-1,Appalachian State,Sun Belt,3,6,86,14.3,1,0,0,,0,6,86,14.3,1
163,Sadiq Palmer\sadiq-palmer-1,Massachusetts,Ind,4,17,239,14.1,0,0,0,,0,17,239,14.1,0
164,Equanimeous St. Brown\equanimeous-st-brown-1,Notre Dame,Ind,3,7,99,14.1,1,0,0,,0,7,99,14.1,1
165,Desmon White\desmon-white-1,Texas Christian,Big 12,3,9,126,14.0,2,0,0,,0,9,126,14.0,2
166,Brittain Brown\brittain-brown-1,Duke,ACC,3,6,84,14.0,0,42,238,5.7,2,48,322,6.7,2
167,Chico McClatcher\chico-mcclatcher-1,Washington,Pac-12,2,6,84,14.0,0,1,-6,-6.0,0,7,78,11.1,0
168,Tony Pollard\tony-pollard-1,Memphis,American,2,4,56,14.0,1,3,6,2.0,0,7,62,8.9,1
169,Doni Dowling\doni-dowling-1,Virginia,ACC,3,17,236,13.9,1,0,0,,0,17,236,13.9,1
170,Jared Pinkney\jared-pinkney-1,Vanderbilt,SEC,3,9,125,13.9,2,0,0,,0,9,125,13.9,2
171,Thomas Jackson\thomas-jackson-4,North Carolina,ACC,3,7,97,13.9,2,0,0,,0,7,97,13.9,2
172,Keenan Barnes\keenan-barnes-1,Louisiana-Lafayette,Sun Belt,3,21,290,13.8,1,0,0,,0,21,290,13.8,1
173,Ray-Ray McCloud\ray-ray-mccloud-1,Clemson,ACC,3,16,220,13.8,1,0,0,,0,16,220,13.8,1
174,Michael Lawrence\michael-lawrence-1,North Texas,CUSA,3,13,179,13.8,1,0,0,,0,13,179,13.8,1
175,Malik Williams\malik-williams-2,Appalachian State,Sun Belt,3,7,96,13.7,0,3,8,2.7,0,10,104,10.4,0
176,Antoine Porter\antoine-porter-1,Eastern Michigan,MAC,2,10,136,13.6,1,0,0,,0,10,136,13.6,1
177,Shay Fields\shay-fields-1,Colorado,Pac-12,3,19,257,13.5,2,0,0,,0,19,257,13.5,2
178,Theo Howard\theo-howard-1,UCLA,Pac-12,3,13,175,13.5,2,0,0,,0,13,175,13.5,2
179,Tarik Black\tarik-black-1,Michigan,Big Ten,3,11,149,13.5,1,0,0,,0,11,149,13.5,1
180,Christian Booker\christian-booker-1,Arkansas State,Sun Belt,2,11,148,13.5,2,0,0,,0,11,148,13.5,2
181,Austin Mack\austin-mack-1,Ohio State,Big Ten,3,6,81,13.5,1,0,0,,0,6,81,13.5,1
182,Jaleel Scott\jaleel-scott-1,New Mexico State,Sun Belt,3,22,295,13.4,4,0,0,,0,22,295,13.4,4
183,Demornay Pierson-El\demornay-pierson-el-1,Nebraska,Big Ten,3,14,188,13.4,2,2,23,11.5,0,16,211,13.2,2
184,Garrett Dickerson\garrett-dickerson-1,Northwestern,Big Ten,3,14,188,13.4,0,1,-1,-1.0,0,15,187,12.5,0
185,Quintez Cephus\quintez-cephus-1,Wisconsin,Big Ten,3,10,134,13.4,3,0,0,,0,10,134,13.4,3
186,Tyler Hoppes\tyler-hoppes-1,Nebraska,Big Ten,3,7,94,13.4,0,0,0,,0,7,94,13.4,0
187,Caleb Wilson\caleb-wilson-2,UCLA,Pac-12,3,21,280,13.3,1,0,0,,0,21,280,13.3,1
188,Damon Mitchell\damon-mitchell-1,Rutgers,Big Ten,3,8,106,13.3,0,0,0,,0,8,106,13.3,0
189,Hayden Hurst\hayden-hurst-1,South Carolina,SEC,3,8,106,13.3,1,1,2,2.0,1,9,108,12.0,2
190,Kaden Smith\kaden-smith-1,Stanford,Pac-12,2,6,80,13.3,1,0,0,,0,6,80,13.3,1
191,Gabriel Davis\gabriel-davis-1,UCF,American,1,4,53,13.3,1,0,0,,0,4,53,13.3,1
192,Simmie Cobbs\simmie-cobbs-1,Indiana,Big Ten,2,16,211,13.2,2,0,0,,0,16,211,13.2,2
193,Davon Grayson\davon-grayson-1,East Carolina,American,3,13,171,13.2,1,1,4,4.0,0,14,175,12.5,1
194,Logan Hessbrook\logan-hessbrook-1,Central Michigan,MAC,3,10,132,13.2,1,0,0,,0,10,132,13.2,1
195,Anthony Mahoungou\anthony-mahoungou-1,Purdue,Big Ten,3,9,119,13.2,1,0,0,,0,9,119,13.2,1
196,Ryan Smith\ryan-smith-9,Miami (OH),MAC,2,9,119,13.2,2,0,0,,0,9,119,13.2,2
197,Darrell Stewart Jr.\darrell-stewart-jr-1,Michigan State,Big Ten,2,9,118,13.1,0,6,98,16.3,0,15,216,14.4,0
198,Garrett Johnson\garrett-johnson-3,Kentucky,SEC,3,8,105,13.1,0,1,11,11.0,0,9,116,12.9,0
199,Dylan Collie\dylan-collie-1,Hawaii,MWC,2,9,117,13.0,1,1,23,23.0,0,10,140,14.0,1
200,Felton Davis III\felton-davis-iii-1,Michigan State,Big Ten,2,8,104,13.0,2,0,0,,0,8,104,13.0,2
201,Tony Ellison\tony-ellison-1,Arizona,Pac-12,3,8,104,13.0,1,0,0,,0,8,104,13.0,1
202,Josh Pederson\josh-pederson-1,Louisiana-Monroe,Sun Belt,2,4,52,13.0,0,0,0,,0,4,52,13.0,0
203,Noah Togiai\noah-togiai-1,Oregon State,Pac-12,3,14,180,12.9,1,0,0,,0,14,180,12.9,1
204,Dillon Stoner\dillon-stoner-1,Oklahoma State,Big 12,3,11,142,12.9,1,0,0,,0,11,142,12.9,1
205,Greg Dortch\greg-dortch-1,Wake Forest,ACC,3,14,179,12.8,4,2,8,4.0,0,16,187,11.7,4
206,Riley Miller\riley-miller-1,Ball State,MAC,3,10,128,12.8,0,0,0,,0,10,128,12.8,0
207,Brandon Presley\brandon-presley-1,UNLV,MWC,2,4,51,12.8,0,0,0,,0,4,51,12.8,0
208,Damion Willis\damion-willis-1,Troy,Sun Belt,3,11,140,12.7,1,0,0,,0,11,140,12.7,1
209,Jon'Vea Johnson\jonvea-johnson-1,Toledo,MAC,3,9,114,12.7,0,0,0,,0,9,114,12.7,0
210,Myles Gaskin\myles-gaskin-1,Washington,Pac-12,3,7,89,12.7,2,24,153,6.4,3,31,242,7.8,5
211,Noah Fant\noah-fant-1,Iowa,Big Ten,3,7,89,12.7,3,1,-4,-4.0,0,8,85,10.6,3
212,Michael Gallup\michael-gallup-1,Colorado State,MWC,4,31,390,12.6,1,0,0,,0,31,390,12.6,1
213,Andre Wilson\andre-wilson-1,UAB,CUSA,3,8,101,12.6,1,0,0,,0,8,101,12.6,1
214,Christian Blake\christian-blake-1,Northern Illinois,MAC,3,8,101,12.6,1,5,12,2.4,0,13,113,8.7,1
215,Greg Campbell Jr.\greg-campbell-3,UTSA,CUSA,2,5,63,12.6,0,0,0,,0,5,63,12.6,0
216,Tavares Martin Jr\tavares-martin-jr-1,Washington State,Pac-12,3,22,276,12.5,4,0,0,,0,22,276,12.5,4
217,Justin Hall\justin-hall-3,Ball State,MAC,3,17,212,12.5,2,6,6,1.0,0,23,218,9.5,2
218,Kanawai Noa\kanawai-noa-1,California,Pac-12,3,11,137,12.5,0,0,0,,0,11,137,12.5,0
219,Chad Beebe\chad-beebe-1,Northern Illinois,MAC,2,10,125,12.5,0,1,-1,-1.0,0,11,124,11.3,0
220,Travis Homer\travis-homer-1,Miami (FL),ACC,1,2,25,12.5,0,11,108,9.8,0,13,133,10.2,0
221,Ka'Raun White\karaun-white-1,West Virginia,Big 12,3,14,173,12.4,2,0,0,,0,14,173,12.4,2
222,Jimmy Williams\jimmy-williams-9,East Carolina,American,3,11,136,12.4,1,1,2,2.0,0,12,138,11.5,1
223,Rafael Araujo-Lopes\rafael-araujo-lopes-1,Pitt,ACC,3,11,136,12.4,1,1,10,10.0,0,12,146,12.2,1
224,Grant Perry\grant-perry-1,Michigan,Big Ten,3,10,124,12.4,1,0,0,,0,10,124,12.4,1
225,D'Wayne Eskridge\dwayne-eskridge-1,Western Michigan,MAC,3,9,112,12.4,1,0,0,,0,9,112,12.4,1
226,Tevaris McCormick\tevaris-mccormick-1,Troy,Sun Belt,3,8,99,12.4,0,2,-2,-1.0,0,10,97,9.7,0
227,Terren Encalade\terren-encalade-1,Tulane,American,3,9,111,12.3,1,1,58,58.0,1,10,169,16.9,2
228,Deddrick Thomas\deddrick-thomas-1,Mississippi State,SEC,3,6,74,12.3,2,2,8,4.0,0,8,82,10.3,2
229,Chris Davis\chris-davis-12,New Mexico,MWC,3,13,158,12.2,1,0,0,,0,13,158,12.2,1
230,Jordan Cunningham\jordan-cunningham-1,North Carolina,ACC,3,10,121,12.1,0,0,0,,0,10,121,12.1,0
231,Jaelon Darden\jaelon-darden-1,North Texas,CUSA,3,8,97,12.1,1,0,0,,0,8,97,12.1,1
232,Matt Flanagan\matt-flanagan-1,Pitt,ACC,3,8,97,12.1,0,0,0,,0,8,97,12.1,0
233,Wyatt Demps\wyatt-demps-1,Nevada,MWC,3,16,192,12.0,3,0,0,,0,16,192,12.0,3
234,Dillon Mitchell\dillon-mitchell-1,Oregon,Pac-12,3,13,156,12.0,1,0,0,,0,13,156,12.0,1
235,Thurman Morbley\thurman-morbley-1,Texas State,Sun Belt,2,10,120,12.0,0,2,23,11.5,0,12,143,11.9,0
236,A.J. Taylor\aj-taylor-1,Wisconsin,Big Ten,3,6,72,12.0,1,0,0,,0,6,72,12.0,1
237,Russell Gage\russell-gage-1,LSU,SEC,3,6,72,12.0,0,8,31,3.9,0,14,103,7.4,0
238,Matt Sokol\matt-sokol-1,Michigan State,Big Ten,2,4,48,12.0,1,0,0,,0,4,48,12.0,1
239,KeeSean Johnson\keesean-johnson-1,Fresno State,MWC,3,19,226,11.9,0,0,0,,0,19,226,11.9,0
240,John Kelly\john-kelly-6,Tennessee,SEC,3,16,191,11.9,0,56,349,6.2,5,72,540,7.5,5
241,Connor Wedington\connor-wedington-1,Stanford,Pac-12,3,10,119,11.9,0,1,9,9.0,0,11,128,11.6,0
242,Ventell Bryant\ventell-bryant-1,Temple,American,2,9,107,11.9,0,0,0,,0,9,107,11.9,0
243,Jordan Veasy\jordan-veasy-1,California,Pac-12,3,7,83,11.9,1,0,0,,0,7,83,11.9,1
244,Stephen Carr\stephen-carr-2,USC,Pac-12,3,7,83,11.9,0,27,216,8.0,2,34,299,8.8,2
245,Detrich Clark\detrich-clark-1,Colorado State,MWC,4,16,189,11.8,2,4,16,4.0,0,20,205,10.3,2
246,Kobay White\kobay-white-1,Boston College,ACC,3,14,165,11.8,0,0,0,,0,14,165,11.8,0
247,Trever Ryen\trever-ryen-1,Iowa State,Big 12,3,13,154,11.8,0,0,0,,0,13,154,11.8,0
248,Deondre Douglas\deondre-douglas-1,Troy,Sun Belt,3,12,141,11.8,0,0,0,,0,12,141,11.8,0
249,Jonathan Ward\jonathan-ward-3,Central Michigan,MAC,3,10,118,11.8,1,40,239,6.0,1,50,357,7.1,2
250,Patrick Laird\patrick-laird-2,California,Pac-12,3,8,94,11.8,1,37,278,7.5,4,45,372,8.3,5
251,Xavier Lane\xavier-lane-1,Western Kentucky,CUSA,2,6,71,11.8,0,0,0,,0,6,71,11.8,0
252,Jordan Villamin\jordan-villamin-1,Oregon State,Pac-12,3,16,187,11.7,1,0,0,,0,16,187,11.7,1
253,Seth Dawkins\seth-dawkins-1,Louisville,ACC,3,11,129,11.7,0,0,0,,0,11,129,11.7,0
254,Jared Murphy\jared-murphy-1,Miami (OH),MAC,3,7,82,11.7,0,0,0,,0,7,82,11.7,0
255,Braxton Berrios\braxton-berrios-1,Miami (FL),ACC,1,3,35,11.7,1,0,0,,0,3,35,11.7,1
256,Terry McLaurin\terry-mclaurin-1,Ohio State,Big Ten,3,9,104,11.6,1,0,0,,0,9,104,11.6,1
257,Kahale Warring\kahale-warring-1,San Diego State,MWC,3,8,93,11.6,1,0,0,,0,8,93,11.6,1
258,Ryheem Malone\ryheem-malone-1,Louisiana-Lafayette,Sun Belt,3,17,196,11.5,2,1,2,2.0,0,18,198,11.0,2
259,Chris Murray\chris-murray-2,Arkansas State,Sun Belt,2,11,127,11.5,1,1,2,2.0,0,12,129,10.8,1
260,Renard Bell\renard-bell-1,Washington State,Pac-12,3,10,115,11.5,0,0,0,,0,10,115,11.5,0
261,Andre Baccellia\andre-baccellia-1,Washington,Pac-12,2,6,69,11.5,0,0,0,,0,6,69,11.5,0
262,Jordan Mims\jordan-mims-1,Fresno State,MWC,3,6,69,11.5,0,16,57,3.6,1,22,126,5.7,1
263,K.J. Osborn\kj-osborn-1,Buffalo,MAC,3,6,69,11.5,0,0,0,,0,6,69,11.5,0
264,John Niupalau\john-niupalau-1,Eastern Michigan,MAC,2,4,46,11.5,0,0,0,,0,4,46,11.5,0
265,Steve Ishmael\steve-ishmael-1,Syracuse,ACC,3,34,389,11.4,0,0,0,,0,34,389,11.4,0
266,Corey Willis\corey-willis-1,Central Michigan,MAC,2,16,183,11.4,1,0,0,,0,16,183,11.4,1
267,D.J. Brown\dj-brown-3,Northern Illinois,MAC,3,12,137,11.4,1,3,14,4.7,0,15,151,10.1,1
268,Chase Harrell\chase-harrell-1,Kansas,Big 12,3,10,114,11.4,2,0,0,,0,10,114,11.4,2
269,Samuel Stewart\samuel-stewart-1,Rice,CUSA,3,9,103,11.4,0,33,156,4.7,0,42,259,6.2,0
270,Matt Bushman\matt-bushman-1,Brigham Young,Ind,4,14,158,11.3,0,0,0,,0,14,158,11.3,0
271,Mike Dudek\mike-dudek-1,Illinois,Big Ten,3,14,158,11.3,1,0,0,,0,14,158,11.3,1
272,Sean Savoy\sean-savoy-1,Virginia Tech,ACC,3,12,136,11.3,1,4,7,1.8,0,16,143,8.9,1
273,Trenton Irwin\trenton-irwin-1,Stanford,Pac-12,3,10,113,11.3,0,0,0,,0,10,113,11.3,0
274,Shaun Nixon\shaun-nixon-1,Texas Christian,Big 12,3,7,79,11.3,1,2,5,2.5,0,9,84,9.3,1
275,Dezmon Patmon\dezmon-patmon-1,Washington State,Pac-12,1,6,68,11.3,0,0,0,,0,6,68,11.3,0
276,Kelvin Harmon\kelvin-harmon-1,North Carolina State,ACC,3,24,268,11.2,1,0,0,,0,24,268,11.2,1
277,Teo Redding\teo-redding-1,Bowling Green State,MAC,3,10,112,11.2,1,0,0,,0,10,112,11.2,1
278,Alize Mack\alize-mack-1,Notre Dame,Ind,3,9,101,11.2,0,0,0,,0,9,101,11.2,0
279,Kadarius Toney\kadarius-toney-1,Florida,SEC,2,6,67,11.2,0,1,5,5.0,0,7,72,10.3,0
280,N'Keal Harry\nkeal-harry-1,Arizona State,Pac-12,3,24,266,11.1,2,2,15,7.5,0,26,281,10.8,2
281,Thomas Geddis\thomas-geddis-1,Cincinnati,American,3,9,100,11.1,1,0,0,,0,9,100,11.1,1
282,Ammon Barker\ammon-barker-1,Hawaii,MWC,2,7,78,11.1,0,0,0,,0,7,78,11.1,0
283,Tony Gaiter IV\tony-gaiter-iv-1,Florida International,CUSA,2,7,78,11.1,0,0,0,,0,7,78,11.1,0
284,Scott Miller\scott-miller-3,Bowling Green State,MAC,3,11,121,11.0,1,0,0,,0,11,121,11.0,1
285,DeAndre Thompkins\deandre-thompkins-1,Penn State,Big Ten,3,6,66,11.0,0,0,0,,0,6,66,11.0,0
286,Jester Weah\jester-weah-1,Pitt,ACC,2,7,76,10.9,1,0,0,,0,7,76,10.9,1
287,Kavika Johnson\kavika-johnson-1,UTEP,CUSA,3,7,76,10.9,0,3,-9,-3.0,0,10,67,6.7,0
288,Richie James\richie-james-1,Middle Tennessee State,CUSA,3,19,206,10.8,2,5,39,7.8,0,24,245,10.2,2
289,Talon Shumway\talon-shumway-1,Brigham Young,Ind,4,12,130,10.8,0,0,0,,0,12,130,10.8,0
290,Reggie Hemphill-Mapps\reggie-hemphill-mapps-1,Texas,Big 12,3,12,129,10.8,0,2,14,7.0,0,14,143,10.2,0
291,Steven Dunbar\steven-dunbar-1,Houston,American,2,12,129,10.8,0,0,0,,0,12,129,10.8,0
292,Kendrick Edwards\kendrick-edwards-1,Arkansas State,Sun Belt,2,11,119,10.8,1,0,0,,0,11,119,10.8,1
293,Jhamon Ausbon\jhamon-ausbon-1,Texas A&M,SEC,3,10,108,10.8,1,0,0,,0,10,108,10.8,1
294,Charlie Callinan\charlie-callinan-1,Boston College,ACC,3,9,97,10.8,2,0,0,,0,9,97,10.8,2
295,Isaiah Jones\isaiah-jones-1,Southern Mississippi,CUSA,3,6,65,10.8,0,0,0,,0,6,65,10.8,0
296,Devin Butler\devin-butler-2,Syracuse,ACC,2,7,75,10.7,0,0,0,,0,7,75,10.7,0
297,Jordan Myers\jordan-myers-1,Rice,CUSA,3,7,75,10.7,0,3,29,9.7,1,10,104,10.4,1
298,Johnathan Lloyd\johnathan-lloyd-1,Duke,ACC,3,8,85,10.6,1,0,0,,0,8,85,10.6,1
299,Quay Johnson\quay-johnson-1,East Carolina,American,3,8,85,10.6,0,0,0,,0,8,85,10.6,0
300,Stephen Louis\stephen-louis-1,North Carolina State,ACC,3,16,168,10.5,1,1,-6,-6.0,0,17,162,9.5,1
301,Brayden Lenius\brayden-lenius-1,Washington,Pac-12,3,6,63,10.5,0,0,0,,0,6,63,10.5,0
302,Jalin Moore\jalin-moore-1,Appalachian State,Sun Belt,3,6,63,10.5,0,31,109,3.5,1,37,172,4.6,1
303,John Okwoli\john-okwoli-1,Wyoming,MWC,3,7,73,10.4,0,0,0,,0,7,73,10.4,0
304,Willie Johnson\willie-johnson-5,Marshall,CUSA,3,14,144,10.3,1,0,0,,0,14,144,10.3,1
305,Mike Gesicki\mike-gesicki-1,Penn State,Big Ten,3,12,123,10.3,4,0,0,,0,12,123,10.3,4
306,Taz Bateman\taz-bateman-1,Georgia State,Sun Belt,2,9,93,10.3,1,40,131,3.3,0,49,224,4.6,1
307,Jokobi Meyers\jokobi-meyers-1,North Carolina State,ACC,2,7,72,10.3,1,0,0,,0,7,72,10.3,1
308,CJ O'Grady\cj-ogrady-1,Arkansas,SEC,2,4,41,10.3,1,0,0,,0,4,41,10.3,1
309,Otis Anderson\otis-anderson-1,UCF,American,1,3,31,10.3,0,0,0,,0,3,31,10.3,0
310,Kahlil Lewis\kahlil-lewis-1,Cincinnati,American,3,15,153,10.2,3,0,0,,0,15,153,10.2,3
311,Binjimen Victor\binjimen-victor-1,Ohio State,Big Ten,3,6,61,10.2,1,0,0,,0,6,61,10.2,1
312,Linell Bonner\linell-bonner-1,Houston,American,2,19,191,10.1,1,0,0,,0,19,191,10.1,1
313,Nick Easley\nick-easley-1,Iowa,Big Ten,3,16,162,10.1,2,0,0,,0,16,162,10.1,2
314,Christian Kirk\christian-kirk-1,Texas A&M,SEC,3,14,141,10.1,2,3,27,9.0,0,17,168,9.9,2
315,Deon Yelder\deon-yelder-1,Western Kentucky,CUSA,3,11,111,10.1,0,0,0,,0,11,111,10.1,0
316,Micah Holder\micah-holder-1,San Diego State,MWC,3,11,111,10.1,0,0,0,,0,11,111,10.1,0
317,Malik Williams\malik-williams-1,Louisville,ACC,3,7,71,10.1,0,19,184,9.7,0,26,255,9.8,0
318,Patrick Smith\patrick-smith-1,Middle Tennessee State,CUSA,3,11,110,10.0,0,0,0,,0,11,110,10.0,0
319,Jeremy Cox\jeremy-cox-1,Old Dominion,CUSA,3,10,100,10.0,0,53,158,3.0,0,63,258,4.1,0
320,Matt Vandeberg\matt-vandeberg-1,Iowa,Big Ten,3,8,80,10.0,1,0,0,,0,8,80,10.0,1
321,Tyler Petite\tyler-petite-1,USC,Pac-12,3,8,80,10.0,0,0,0,,0,8,80,10.0,0
322,Demetris Robertson\demetris-robertson-1,California,Pac-12,2,7,70,10.0,0,2,40,20.0,1,9,110,12.2,1
323,Ethan Wolf\ethan-wolf-1,Tennessee,SEC,3,7,70,10.0,1,0,0,,0,7,70,10.0,1
324,Josh Stewart\josh-stewart-2,UTSA,CUSA,2,7,70,10.0,2,0,0,,0,7,70,10.0,2
325,Quayvon Skanes\quayvon-skanes-1,Connecticut,American,2,6,60,10.0,0,1,1,1.0,0,7,61,8.7,0
326,Hunter Renfrow\hunter-renfrow-1,Clemson,ACC,3,15,149,9.9,0,0,0,,0,15,149,9.9,0
327,Van Jefferson\van-jefferson-1,Ole Miss,SEC,3,15,148,9.9,0,0,0,,0,15,148,9.9,0
328,Da'Mari Scott\damari-scott-1,Fresno State,MWC,3,14,139,9.9,1,2,10,5.0,0,16,149,9.3,1
329,Isaiah Zuber\isaiah-zuber-1,Kansas State,Big 12,3,13,129,9.9,1,0,0,,0,13,129,9.9,1
330,David Montgomery\david-montgomery-1,Iowa State,Big 12,3,10,99,9.9,0,56,322,5.8,4,66,421,6.4,4
331,Keenen Johnson\keenen-johnson-1,Tulsa,American,3,18,176,9.8,0,0,0,,0,18,176,9.8,0
332,Bryan Edwards\bryan-edwards-1,South Carolina,SEC,3,15,147,9.8,0,0,0,,0,15,147,9.8,0
333,Kyle Sweet\kyle-sweet-1,Washington State,Pac-12,3,14,137,9.8,1,0,0,,0,14,137,9.8,1
334,KaVontae Turpin\kavontae-turpin-1,Texas Christian,Big 12,3,12,118,9.8,1,2,37,18.5,1,14,155,11.1,2
335,Kendal Keys\kendal-keys-1,UNLV,MWC,1,5,49,9.8,0,0,0,,0,5,49,9.8,0
336,T.J. Rahming\tj-rahming-1,Duke,ACC,3,18,175,9.7,0,0,0,,0,18,175,9.7,0
337,Armanti Foreman\armanti-foreman-1,Texas,Big 12,3,15,146,9.7,3,2,12,6.0,0,17,158,9.3,3
338,Flynn Nagel\flynn-nagel-1,Northwestern,Big Ten,3,10,97,9.7,0,0,0,,0,10,97,9.7,0
339,Justin Jackson\justin-jackson-5,Northwestern,Big Ten,3,9,87,9.7,0,55,248,4.5,4,64,335,5.2,4
340,Spencer Tears\spencer-tears-1,Northern Illinois,MAC,3,9,87,9.7,1,0,0,,0,9,87,9.7,1
341,Jason Huntley\jason-huntley-1,New Mexico State,Sun Belt,2,7,68,9.7,1,7,88,12.6,1,14,156,11.1,2
342,David Lucero\david-lucero-1,UTEP,CUSA,3,6,58,9.7,0,0,0,,0,6,58,9.7,0
343,Marshall Elick\marshall-elick-1,Temple,American,2,6,58,9.7,0,0,0,,0,6,58,9.7,0
344,Nyqwan Murray\nyqwan-murray-1,Florida State,ACC,1,3,29,9.7,0,0,0,,0,3,29,9.7,0
345,Olamide Zaccheaus\olamide-zaccheaus-1,Virginia,ACC,3,26,250,9.6,2,4,47,11.8,0,30,297,9.9,2
346,Isaiah Johnson-Mack\isaiah-johnson-mack-1,Washington State,Pac-12,3,22,211,9.6,2,0,0,,0,22,211,9.6,2
347,Bryce Bobo\bryce-bobo-1,Colorado,Pac-12,3,21,201,9.6,2,0,0,,0,21,201,9.6,2
348,Eli Stove\eli-stove-1,Auburn,SEC,3,7,67,9.6,0,3,13,4.3,0,10,80,8.0,0
349,Brandon Powell\brandon-powell-1,Florida,SEC,2,5,48,9.6,1,0,0,,0,5,48,9.6,1
350,Austin Conway\austin-conway-1,Wyoming,MWC,3,22,209,9.5,1,1,3,3.0,0,23,212,9.2,1
351,Donald Gray\donald-gray-1,Mississippi State,SEC,3,10,95,9.5,1,0,0,,0,10,95,9.5,1
352,Justin Stockton\justin-stockton-1,Texas Tech,Big 12,2,6,57,9.5,0,20,94,4.7,2,26,151,5.8,2
353,Jacob Sannon\jacob-sannon-1,Idaho,Sun Belt,3,19,179,9.4,1,0,0,,0,19,179,9.4,1
354,Allen Lazard\allen-lazard-1,Iowa State,Big 12,3,19,178,9.4,3,0,0,,0,19,178,9.4,3
355,Janarion Grant\janarion-grant-1,Rutgers,Big Ten,3,12,113,9.4,1,2,3,1.5,0,14,116,8.3,1
356,OJ Clark\oj-clark-1,New Mexico State,Sun Belt,2,9,85,9.4,1,0,0,,0,9,85,9.4,1
357,Nacarius Fant\nacarius-fant-1,Western Kentucky,CUSA,3,18,167,9.3,0,0,0,,0,18,167,9.3,0
358,Samson Nacua\samson-nacua-1,Utah,Pac-12,3,14,130,9.3,0,1,3,3.0,0,15,133,8.9,0
359,Cameron Batson\cameron-batson-1,Texas Tech,Big 12,2,12,112,9.3,1,0,0,,0,12,112,9.3,1
360,Jordan Chunn\jordan-chunn-1,Troy,Sun Belt,3,11,102,9.3,0,44,189,4.3,4,55,291,5.3,4
361,Ian Thomas\ian-thomas-3,Indiana,Big Ten,2,9,84,9.3,2,0,0,,0,9,84,9.3,2
362,Jeff Smith\jeff-smith-10,Boston College,ACC,3,9,84,9.3,0,3,26,8.7,0,12,110,9.2,0
363,Boston Scott\boston-scott-1,Louisiana Tech,CUSA,3,7,65,9.3,0,30,180,6.0,0,37,245,6.6,0
364,Shane Tucker\shane-tucker-1,Middle Tennessee State,CUSA,3,7,65,9.3,1,3,22,7.3,0,10,87,8.7,1
365,Anthony Young\anthony-young-4,Akron,MAC,3,6,56,9.3,0,0,0,,0,6,56,9.3,0
366,Jake Thomas\jake-thomas-1,Mississippi State,SEC,3,6,56,9.3,1,0,0,,0,6,56,9.3,1
367,Josh Aganon\josh-aganon-1,New Mexico State,Sun Belt,2,6,56,9.3,0,0,0,,0,6,56,9.3,0
368,Jackson Anthrop\jackson-anthrop-1,Purdue,Big Ten,3,17,157,9.2,4,3,9,3.0,0,20,166,8.3,4
369,Isaiah Hodgins\isaiah-hodgins-1,Oregon State,Pac-12,4,17,156,9.2,1,0,0,,0,17,156,9.2,1
370,Omar Bayless\omar-bayless-1,Arkansas State,Sun Belt,2,10,92,9.2,1,0,0,,0,10,92,9.2,1
371,Bo Scarbrough\bo-scarbrough-1,Alabama,SEC,3,6,55,9.2,0,33,142,4.3,1,39,197,5.1,1
372,Marcel Williams\marcel-williams-2,Marshall,CUSA,3,17,155,9.1,1,1,3,3.0,0,18,158,8.8,1
373,Josh Oliver\josh-oliver-1,San Jose State,MWC,3,12,109,9.1,0,0,0,,0,12,109,9.1,0
374,Dimetrios Mason\dimetrios-mason-1,Missouri,SEC,3,11,100,9.1,0,1,19,19.0,0,12,119,9.9,0
375,Jerome Washington\jerome-washington-1,Rutgers,Big Ten,3,12,108,9.0,1,0,0,,0,12,108,9.0,1
376,Jordan Nathan\jordan-nathan-1,Utah State,MWC,3,11,99,9.0,1,4,13,3.3,0,15,112,7.5,1
377,Trey Hartley\trey-hartley-1,San Jose State,MWC,4,9,81,9.0,1,0,0,,0,9,81,9.0,1
378,A.J. Richardson\aj-richardson-1,Boise State,MWC,3,8,72,9.0,0,0,0,,0,8,72,9.0,0
379,Qadree Ollison\oadree-ollison-1,Pitt,ACC,3,8,72,9.0,0,44,193,4.4,2,52,265,5.1,2
