,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
461,Tyjon Lindsey\tyjon-lindsey-1,Nebraska,Big Ten,3,8,44,5.5,0,2,5,2.5,0,10,49,4.9,0
462,Henry Bussey\henry-bussey-1,Florida Atlantic,CUSA,3,7,38,5.4,0,0,0,,0,7,38,5.4,0
463,Mike Boone\mike-boone-2,Cincinnati,American,2,7,37,5.3,0,31,144,4.6,2,38,181,4.8,2
464,Gemonta Jackson\gemonta-jackson-1,Old Dominion,CUSA,3,6,32,5.3,0,11,65,5.9,1,17,97,5.7,1
465,Nick Ralston\nick-ralston-1,Arizona State,Pac-12,2,6,32,5.3,0,3,18,6.0,0,9,50,5.6,0
466,Gerard Wicks\gerard-wicks-1,Washington State,Pac-12,3,6,31,5.2,0,9,45,5.0,1,15,76,5.1,1
467,Troy McCormick\troy-mccormick-1,Utah,Pac-12,3,10,51,5.1,0,8,63,7.9,0,18,114,6.3,0
468,Jamal Morrow\jamal-morrow-1,Washington State,Pac-12,3,9,46,5.1,2,17,120,7.1,1,26,166,6.4,3
469,Shaun Wilson\shaun-wilson-1,Duke,ACC,3,7,36,5.1,0,41,301,7.3,4,48,337,7.0,4
470,Lajuan Hunt\lajuan-hunt-1,Utah State,MWC,3,7,35,5.0,0,27,83,3.1,1,34,118,3.5,1
471,Reggie Roberson Jr.\reggie-roberson-jr-1,West Virginia,Big 12,3,6,30,5.0,1,0,0,,0,6,30,5.0,1
472,Aleva Hifo\aleva-hifo-1,Brigham Young,Ind,3,9,44,4.9,0,0,0,,0,9,44,4.9,0
473,Tyraiq Beals\tyraiq-beals-1,Connecticut,American,2,9,40,4.4,0,0,0,,0,9,40,4.4,0
474,Reggie Bonnafon\reggie-bonnafon-1,Louisville,ACC,3,6,26,4.3,0,20,72,3.6,1,26,98,3.8,1
475,Tyler Watts\tyler-watts-2,Texas State,Sun Belt,3,7,29,4.1,0,1,3,3.0,0,8,32,4.0,0
476,Mark Walton\mark-walton-1,Miami (FL),ACC,1,2,8,4.0,0,16,148,9.3,2,18,156,8.7,2
477,Mikale Wilbon\mikale-wilbon-1,Nebraska,Big Ten,3,7,25,3.6,0,29,113,3.9,2,36,138,3.8,2
478,Jeffrey Wilson\jeffrey-wilson-2,North Texas,CUSA,3,9,31,3.4,0,37,307,8.3,5,46,338,7.3,5
479,Jon Hilliman\jon-hilliman-1,Boston College,ACC,3,7,13,1.9,1,55,203,3.7,0,62,216,3.5,1
480,Warren Ball\warren-ball-1,Akron,MAC,3,6,11,1.8,1,44,213,4.8,3,50,224,4.5,4
481,Ravian Pierce\ravian-pierce-1,Syracuse,ACC,3,6,9,1.5,2,0,0,,0,6,9,1.5,2
482,Daniel Hamm\daniel-hamm-1,Virginia,ACC,3,9,9,1.0,0,15,54,3.6,1,24,63,2.6,1
