,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Vanderbilt,3,4.3,12.0,26.7,45.0,95.3,0.3,31.0,111.3,3.6,0.3,57.7,206.7,3.6,4.3,6.3,1.7,12.3,5.3,31.7,0.0,1.7,1.7
2,Penn State,3,4.7,18.7,34.0,54.9,147.7,0.0,42.7,126.0,3.0,0.3,76.7,273.7,3.6,9.0,8.3,1.3,18.7,6.0,54.7,1.0,2.0,3.0
3,Minnesota,3,8.0,21.3,37.7,56.6,180.0,0.7,21.0,59.0,2.8,0.3,58.7,239.0,4.1,8.3,3.3,1.0,12.7,5.7,57.0,1.0,1.0,2.0
4,Colorado,3,9.0,17.3,34.0,51.0,212.7,1.0,36.7,113.7,3.1,0.0,70.7,326.3,4.6,9.0,6.3,2.3,17.7,6.3,65.3,1.0,1.3,2.3
5,Wake Forest,3,9.0,11.7,29.0,40.2,143.0,0.7,39.0,130.3,3.3,0.3,68.0,273.3,4.0,5.7,8.0,0.3,14.0,3.0,28.0,0.3,1.7,2.0
6,Mississippi State,3,9.3,9.7,22.0,43.9,105.0,0.3,39.3,101.0,2.6,0.7,61.3,206.0,3.4,4.0,6.7,1.7,12.3,5.3,56.3,0.7,0.3,1.0
7,Houston,2,9.5,16.5,31.0,53.2,166.0,0.0,37.0,140.5,3.8,0.5,68.0,306.5,4.5,8.5,7.5,1.5,17.5,3.0,25.0,1.5,1.0,2.5
8,Clemson,3,10.0,11.7,23.7,49.3,132.3,1.0,37.7,91.0,2.4,0.0,61.3,223.3,3.6,5.0,6.7,1.3,13.0,6.7,52.3,0.0,0.3,0.3
9,Eastern Michigan,2,10.0,14.5,33.5,43.3,156.0,0.5,32.5,147.0,4.5,0.5,66.0,303.0,4.6,6.5,5.5,2.0,14.0,10.0,100.0,0.0,2.5,2.5
10,Wisconsin,3,10.0,15.0,26.7,56.3,157.3,0.3,29.3,90.7,3.1,0.7,56.0,248.0,4.4,6.7,4.3,1.0,12.0,7.3,66.3,0.3,1.7,2.0
11,Auburn,3,10.3,14.7,24.0,61.1,113.0,0.3,39.3,88.7,2.3,0.7,63.3,201.7,3.2,5.3,5.3,2.3,12.7,4.3,35.0,0.7,0.3,1.0
12,Michigan State,2,12.0,11.0,29.0,37.9,112.0,0.0,30.0,91.5,3.1,0.0,59.0,203.5,3.4,5.0,5.0,0.0,10.0,3.5,20.0,0.0,1.0,1.0
13,Oklahoma,3,12.3,13.7,24.7,55.4,110.3,0.0,38.3,160.3,4.2,1.3,63.0,270.7,4.3,5.0,10.7,1.3,17.0,5.7,55.7,0.7,0.7,1.3
14,Washington,3,12.3,21.3,34.0,62.7,168.0,1.0,35.3,93.7,2.7,0.0,69.3,261.7,3.8,7.3,7.0,1.3,15.7,4.7,38.0,0.7,1.7,2.3
15,Miami (FL),1,13.0,25.0,39.0,64.1,229.0,0.0,30.0,121.0,4.0,1.0,69.0,350.0,5.1,10.0,8.0,2.0,20.0,13.0,96.0,1.0,1.0,2.0
16,Alabama,3,13.3,22.0,37.3,58.9,224.3,1.3,29.3,85.0,2.9,0.3,66.7,309.3,4.6,11.3,6.0,1.7,19.0,2.7,16.7,0.3,1.7,2.0
17,Kansas State,3,13.3,17.0,27.7,61.4,153.7,0.7,37.7,133.7,3.5,1.0,65.3,287.3,4.4,8.7,8.0,0.7,17.3,5.0,38.3,1.3,1.0,2.3
18,UTSA,2,13.5,10.0,26.5,37.7,101.0,0.5,32.0,110.5,3.5,0.5,58.5,211.5,3.6,3.0,7.5,1.5,12.0,7.0,61.5,0.0,2.0,2.0
19,Southern Mississippi,3,13.7,10.7,24.3,43.8,122.0,0.3,32.7,119.3,3.7,1.0,57.0,241.3,4.2,4.3,6.3,1.0,11.7,7.0,60.7,1.0,0.7,1.7
20,Virginia Tech,3,13.7,16.7,33.7,49.5,242.7,1.7,37.0,122.7,3.3,0.0,70.7,365.3,5.2,9.7,7.0,0.7,17.7,8.7,68.3,1.0,1.0,2.0
21,Georgia,3,14.3,22.3,35.7,62.6,195.0,0.7,30.7,71.0,2.3,0.7,66.3,266.0,4.0,8.3,4.0,2.7,15.0,7.3,61.7,1.0,0.0,1.0
22,Texas Christian,3,14.3,11.3,25.0,45.3,172.7,1.0,34.3,92.3,2.7,0.7,59.3,265.0,4.5,6.7,4.3,2.7,13.7,4.3,37.3,0.7,1.0,1.7
23,Air Force,2,14.5,12.0,21.0,57.1,104.5,0.0,35.0,122.5,3.5,0.5,56.0,227.0,4.1,4.0,6.5,1.0,11.5,4.5,46.0,0.5,0.5,1.0
24,Duke,3,14.7,12.3,28.3,43.5,175.3,1.3,26.3,61.3,2.3,0.7,54.7,236.7,4.3,6.7,2.7,1.3,10.7,7.0,64.0,0.7,2.0,2.7
25,Michigan,3,14.7,10.0,25.0,40.0,125.7,0.7,35.3,82.3,2.3,0.3,60.3,208.0,3.4,4.3,5.3,2.7,12.3,4.0,34.7,1.0,1.0,2.0
26,Utah,3,15.0,17.3,35.0,49.5,196.7,1.0,29.7,48.0,1.6,0.3,64.7,244.7,3.8,8.7,3.3,1.7,13.7,5.0,46.0,1.0,2.0,3.0
27,Kentucky,3,15.3,25.7,40.0,64.2,289.7,1.7,26.0,57.0,2.2,0.3,66.0,346.7,5.3,10.7,5.0,1.0,16.7,8.7,68.0,1.3,1.0,2.3
28,Rutgers,3,15.3,14.7,30.0,48.9,203.0,1.0,32.0,92.7,2.9,0.0,62.0,295.7,4.8,10.0,3.0,1.0,14.0,7.3,67.3,0.7,1.0,1.7
29,LSU,3,15.7,14.0,26.3,53.2,152.0,0.7,29.7,116.0,3.9,1.0,56.0,268.0,4.8,7.0,6.0,1.7,14.7,4.7,32.7,0.0,1.0,1.0
30,Buffalo,3,16.0,9.0,21.0,42.9,104.0,0.3,51.7,219.3,4.2,1.7,72.7,323.3,4.4,5.0,13.0,1.3,19.3,4.0,34.7,0.0,0.3,0.3
31,Northern Illinois,3,16.7,21.7,40.3,53.7,205.7,0.7,43.7,97.7,2.2,1.0,84.0,303.3,3.6,8.7,7.3,3.0,19.0,7.0,67.3,0.3,2.0,2.3
32,Appalachian State,3,17.0,13.0,24.3,53.4,148.0,0.7,38.0,141.0,3.7,1.0,62.3,289.0,4.6,5.7,7.0,2.0,14.7,8.0,72.3,0.0,1.0,1.0
33,UCF,1,17.0,18.0,31.0,58.1,201.0,1.0,26.0,134.0,5.2,1.0,57.0,335.0,5.9,8.0,5.0,0.0,13.0,14.0,163.0,3.0,1.0,4.0
34,Oklahoma State,3,17.3,18.0,32.3,55.7,203.3,0.7,40.3,129.3,3.2,1.0,72.7,332.7,4.6,9.3,8.0,1.0,18.3,5.0,46.0,1.0,1.0,2.0
35,Arkansas,2,17.5,17.5,30.0,58.3,130.5,0.5,36.5,137.5,3.8,2.0,66.5,268.0,4.0,5.5,10.5,0.5,16.5,6.5,57.5,1.0,0.5,1.5
36,San Diego State,3,18.0,16.3,26.0,62.8,212.0,1.3,26.7,91.7,3.4,1.0,52.7,303.7,5.8,7.7,4.3,1.7,13.7,6.0,49.7,1.0,1.3,2.3
37,Syracuse,3,18.0,19.0,36.3,52.3,219.7,2.0,32.0,87.0,2.7,0.3,68.3,306.7,4.5,9.0,5.0,2.7,16.7,7.3,73.0,1.3,1.0,2.3
38,Troy,3,18.3,22.0,35.0,62.9,207.0,1.3,31.0,94.3,3.0,0.3,66.0,301.3,4.6,9.7,6.0,1.7,17.0,7.7,64.7,0.3,0.3,0.7
39,Notre Dame,3,18.7,19.7,35.0,56.2,200.3,1.7,41.3,151.7,3.7,0.3,76.3,352.0,4.6,9.7,7.7,1.7,19.0,8.0,67.7,1.0,1.0,2.0
40,Iowa,3,19.3,22.0,38.3,57.4,238.0,1.7,24.3,100.7,4.1,0.7,62.7,338.7,5.4,11.0,4.7,2.0,17.7,6.7,58.0,0.3,1.3,1.7
41,Arizona,3,19.7,23.3,40.3,57.9,267.7,0.7,30.3,140.3,4.6,1.7,70.7,408.0,5.8,11.0,6.7,2.0,19.7,7.7,74.3,0.7,1.7,2.3
42,Ohio State,3,19.7,23.7,37.0,64.0,275.0,2.0,40.7,126.7,3.1,0.7,77.7,401.7,5.2,13.3,7.0,2.3,22.7,3.3,27.0,1.3,0.7,2.0
43,Purdue,3,19.7,19.7,34.3,57.3,249.0,1.0,31.7,129.7,4.1,1.0,66.0,378.7,5.7,11.7,6.7,1.7,20.0,8.3,62.0,2.0,0.7,2.7
44,Navy,2,20.0,14.5,23.0,63.0,178.5,1.0,34.5,122.5,3.6,1.0,57.5,301.0,5.2,4.5,8.5,0.5,13.5,5.5,30.5,0.0,1.0,1.0
45,Western Kentucky,3,20.0,21.7,37.3,58.0,244.3,1.0,34.0,113.3,3.3,0.7,71.3,357.7,5.0,12.0,7.7,1.0,20.7,5.7,61.7,0.0,0.7,0.7
46,Army,3,20.3,22.0,31.3,70.2,249.7,1.0,28.7,156.3,5.5,1.7,60.0,406.0,6.8,11.0,8.7,0.3,20.0,4.3,35.0,0.7,0.3,1.0
47,Miami (OH),3,20.7,18.3,30.3,60.4,180.0,0.7,32.3,119.3,3.7,0.3,62.7,299.3,4.8,7.3,7.0,1.7,16.0,6.0,50.3,1.0,1.3,2.3
48,South Florida,3,20.7,20.7,41.3,50.0,234.0,1.3,29.7,89.3,3.0,1.0,71.0,323.3,4.6,9.7,3.7,2.3,15.7,10.0,85.0,0.0,2.7,2.7
49,Virginia,3,20.7,14.7,23.0,63.8,165.3,1.3,41.0,165.3,4.0,1.0,64.0,330.7,5.2,8.0,8.3,1.7,18.0,3.3,31.0,0.3,1.0,1.3
50,Marshall,3,21.0,19.7,32.3,60.8,252.0,1.7,39.7,139.0,3.5,1.0,72.0,391.0,5.4,12.0,7.3,1.3,20.7,5.3,54.7,0.3,0.7,1.0
51,South Carolina,3,21.3,25.0,40.7,61.5,276.3,1.0,39.7,150.3,3.8,1.3,80.3,426.7,5.3,14.0,9.0,1.0,24.0,5.3,33.0,1.3,1.0,2.3
52,California,3,22.0,25.0,44.0,56.8,337.7,1.3,38.0,138.7,3.6,1.3,82.0,476.3,5.8,13.7,8.3,1.3,23.3,9.7,73.0,1.3,1.7,3.0
53,Cincinnati,3,22.3,14.0,26.3,53.2,177.0,1.3,43.0,162.3,3.8,0.7,69.3,339.3,4.9,6.3,9.0,1.7,17.0,8.7,77.3,1.0,0.7,1.7
54,Washington State,3,22.3,16.0,25.7,62.3,154.7,1.0,35.7,146.0,4.1,1.3,61.3,300.7,4.9,7.0,8.3,0.3,15.7,5.7,46.7,1.7,0.7,2.3
55,West Virginia,3,22.3,16.0,30.0,53.3,234.3,1.7,40.0,180.7,4.5,1.0,70.0,415.0,5.9,8.3,8.0,2.0,18.3,8.0,74.0,0.7,1.0,1.7
56,Ball State,3,22.7,14.7,26.0,56.4,184.0,0.3,37.3,174.3,4.7,2.3,63.3,358.3,5.7,9.0,9.7,1.0,19.7,5.0,47.0,0.7,1.0,1.7
57,Northwestern,3,22.7,24.0,42.0,57.1,253.3,1.3,38.3,157.0,4.1,1.3,80.3,410.3,5.1,13.3,9.3,1.7,24.3,5.7,45.0,1.0,0.7,1.7
58,Texas State,3,22.7,20.3,32.7,62.2,235.0,0.7,36.7,88.7,2.4,1.3,69.3,323.7,4.7,11.3,6.7,2.0,20.0,7.3,68.3,0.7,0.0,0.7
59,Arkansas State,2,23.0,17.0,29.0,58.6,231.0,1.0,38.5,140.5,3.6,1.0,67.5,371.5,5.5,10.5,7.5,0.5,18.5,5.5,45.0,1.0,1.5,2.5
60,Brigham Young,4,23.0,19.3,27.5,70.0,221.8,1.3,44.5,183.3,4.1,1.3,72.0,405.0,5.6,9.5,11.3,1.0,21.8,8.5,77.3,0.5,0.3,0.8
61,Oregon,3,23.0,18.0,38.0,47.4,194.7,1.3,33.3,108.3,3.3,1.7,71.3,303.0,4.2,8.7,5.7,3.7,18.0,4.7,46.3,0.3,2.3,2.7
62,Stanford,3,23.0,17.3,26.3,65.8,199.3,1.7,45.0,206.3,4.6,1.3,71.3,405.7,5.7,10.3,10.7,0.7,21.7,7.0,65.0,0.3,1.0,1.3
63,North Carolina State,3,23.7,18.0,30.3,59.3,253.7,2.0,31.0,88.3,2.8,0.3,61.3,342.0,5.6,9.7,5.3,0.3,15.3,5.3,45.3,1.0,1.0,2.0
64,Colorado State,4,23.8,21.8,35.5,61.3,257.5,1.3,32.5,153.3,4.7,1.3,68.0,410.8,6.0,12.0,7.5,1.8,21.3,5.0,45.0,0.5,1.8,2.3
65,Florida State,1,24.0,10.0,18.0,55.6,96.0,1.0,42.0,173.0,4.1,1.0,60.0,269.0,4.5,4.0,8.0,1.0,13.0,5.0,30.0,0.0,0.0,0.0
66,New Mexico,3,24.0,28.0,43.7,64.1,270.7,2.7,26.3,78.0,3.0,0.7,70.0,348.7,5.0,12.7,5.0,0.7,18.3,8.0,67.7,0.7,1.0,1.7
67,Florida Atlantic,3,24.3,9.7,20.7,46.8,124.3,0.7,51.7,278.0,5.4,2.7,72.3,402.3,5.6,5.3,14.0,0.3,19.7,4.3,37.7,1.0,1.0,2.0
68,Wyoming,3,24.3,9.3,17.3,53.8,132.7,1.3,52.7,206.0,3.9,2.0,70.0,338.7,4.8,6.3,14.3,1.7,22.3,3.0,27.7,1.7,1.0,2.7
69,Boise State,3,24.7,24.7,39.0,63.2,217.0,1.3,35.7,98.7,2.8,0.7,74.7,315.7,4.2,10.7,6.0,1.3,18.0,4.7,40.0,1.3,1.3,2.7
70,Ohio,3,24.7,17.0,31.3,54.3,233.0,2.0,36.0,139.3,3.9,1.0,67.3,372.3,5.5,10.0,7.3,1.0,18.3,7.0,54.0,0.7,0.3,1.0
71,Tennessee,3,24.7,10.7,19.0,56.1,141.7,1.0,51.0,275.0,5.4,2.0,70.0,416.7,6.0,6.3,13.7,0.3,20.0,5.7,40.0,1.3,0.3,1.7
72,Illinois,3,25.0,22.0,36.3,60.6,248.7,1.7,44.3,184.3,4.2,1.7,80.7,433.0,5.4,10.0,11.7,2.7,24.3,9.7,88.3,0.7,1.0,1.7
73,Old Dominion,3,25.7,17.0,31.3,54.3,223.3,0.7,42.0,149.3,3.6,2.7,73.3,372.7,5.1,9.7,11.3,1.0,22.0,6.3,71.7,0.3,0.3,0.7
74,Ole Miss,3,25.7,17.7,32.0,55.2,185.0,0.7,40.0,181.3,4.5,2.0,72.0,366.3,5.1,10.3,8.7,1.7,20.7,5.7,53.0,0.0,1.0,1.0
75,Georgia Tech,2,26.0,14.0,25.5,54.9,147.0,1.5,30.0,132.0,4.4,2.0,55.5,279.0,5.0,7.0,7.5,1.5,16.0,3.5,36.5,0.5,1.0,1.5
76,Texas,3,26.0,18.3,31.7,57.9,248.3,1.7,34.3,125.3,3.7,1.3,66.0,373.7,5.7,10.0,6.3,0.7,17.0,8.3,50.7,0.3,1.3,1.7
77,USC,3,26.3,16.0,30.3,52.7,188.0,1.7,36.3,167.0,4.6,1.0,66.7,355.0,5.3,9.0,7.7,2.7,19.3,7.7,47.0,0.0,1.0,1.0
78,Florida,2,26.5,16.5,32.5,50.8,238.5,1.0,41.0,199.0,4.9,1.0,73.5,437.5,6.0,10.0,9.5,1.0,21.0,7.0,54.5,0.0,2.5,2.5
79,Texas A&M,3,26.7,25.3,42.7,59.4,323.7,2.3,28.3,76.7,2.7,1.0,71.0,400.3,5.6,14.3,4.3,1.0,19.7,6.0,45.0,2.0,1.3,3.3
80,UAB,3,27.0,15.0,29.0,51.7,151.7,1.0,41.0,146.7,3.6,2.0,70.0,298.3,4.3,8.3,8.0,2.7,19.0,6.3,51.7,0.0,1.3,1.3
81,Iowa State,3,27.3,25.7,41.0,62.6,295.0,3.3,29.0,107.0,3.7,0.3,70.0,402.0,5.7,13.7,7.3,2.0,23.0,8.3,78.0,0.3,1.7,2.0
82,Texas Tech,2,27.5,25.0,38.5,64.9,273.0,2.0,40.0,124.5,3.1,1.5,78.5,397.5,5.1,13.0,9.0,3.0,25.0,4.5,46.0,1.0,1.0,2.0
83,Temple,3,27.7,22.3,36.7,60.9,314.3,1.7,35.7,174.3,4.9,2.0,72.3,488.7,6.8,13.7,8.0,1.7,23.3,5.0,34.3,0.7,0.3,1.0
84,Middle Tennessee State,3,28.3,19.3,30.0,64.4,200.0,1.0,43.7,141.0,3.2,2.0,73.7,341.0,4.6,7.7,10.7,2.0,20.3,4.3,43.7,0.3,0.3,0.7
85,Coastal Carolina,2,29.0,17.5,30.0,58.3,233.5,0.5,36.5,124.0,3.4,3.5,66.5,357.5,5.4,11.0,8.5,2.0,21.5,6.0,67.0,1.5,0.0,1.5
86,Connecticut,2,29.0,31.5,48.0,65.6,406.5,2.0,28.5,130.0,4.6,1.5,76.5,536.5,7.0,18.0,6.5,1.0,25.5,9.5,87.0,0.5,0.5,1.0
87,Idaho,3,29.0,13.7,24.0,56.9,166.7,0.7,42.3,195.7,4.6,2.3,66.3,362.3,5.5,6.3,10.3,0.3,17.0,4.0,39.7,0.3,0.3,0.7
88,Maryland,2,29.0,27.5,44.5,61.8,292.5,2.0,33.5,98.5,2.9,0.5,78.0,391.0,5.0,15.0,6.0,2.0,21.5,8.0,78.0,0.5,1.5,2.0
89,Toledo,3,29.3,11.3,23.7,47.9,149.7,0.7,44.0,220.0,5.0,3.0,67.7,369.7,5.5,5.3,12.0,3.0,20.3,7.7,70.7,0.3,0.7,1.0
90,UNLV,2,29.5,18.5,30.0,61.7,200.5,1.0,48.5,216.0,4.5,2.5,78.5,416.5,5.3,8.5,10.0,1.0,19.5,7.0,68.0,0.0,1.0,1.0
91,Fresno State,3,29.7,20.0,28.7,69.8,225.0,2.0,32.0,122.3,3.8,1.7,60.7,347.3,5.7,11.7,7.7,1.0,20.3,5.0,40.0,1.0,0.3,1.3
92,South Alabama,3,30.3,24.0,34.7,69.2,290.3,2.3,30.7,112.3,3.7,0.7,65.3,402.7,6.2,13.0,6.3,1.7,21.0,5.0,37.7,0.7,0.3,1.0
93,Massachusetts,4,30.5,18.0,31.0,58.1,227.0,2.0,41.0,187.3,4.6,1.8,72.0,414.3,5.8,9.3,9.0,1.0,19.3,6.8,65.5,0.0,0.3,0.3
94,New Mexico State,3,30.7,23.0,36.3,63.3,287.0,1.7,38.0,146.0,3.8,2.0,74.3,433.0,5.8,12.7,7.7,2.3,22.0,7.7,58.3,0.7,0.7,1.3
95,Tulane,3,31.0,13.0,23.0,56.5,238.0,2.0,34.7,157.0,4.5,1.7,57.7,395.0,6.8,7.7,8.0,1.0,16.7,4.7,36.7,1.0,0.7,1.7
96,Georgia Southern,2,31.5,14.0,24.0,58.3,156.5,2.0,42.5,248.0,5.8,2.0,66.5,404.5,6.1,8.5,11.0,0.0,19.5,5.0,41.5,1.0,0.5,1.5
97,Central Michigan,3,31.7,24.0,45.7,52.6,295.3,1.7,36.3,185.0,5.1,1.7,82.0,480.3,5.9,12.7,7.0,2.0,21.7,9.3,81.3,0.7,3.0,3.7
98,Akron,3,32.0,19.7,29.7,66.3,255.3,1.3,35.0,159.7,4.6,2.3,64.7,415.0,6.4,10.3,5.7,3.7,19.7,6.3,62.3,0.0,1.0,1.0
99,Louisiana-Monroe,2,32.5,13.5,28.5,47.4,173.5,1.5,43.5,301.5,6.9,2.5,72.0,475.0,6.6,6.0,11.0,2.0,19.0,11.0,110.5,0.5,1.0,1.5
100,Nevada,3,32.7,22.0,34.3,64.1,284.3,2.0,48.3,154.7,3.2,1.7,82.7,439.0,5.3,11.0,9.3,3.7,24.0,10.3,93.3,0.3,0.3,0.7
101,Baylor,3,33.0,26.3,38.3,68.7,262.0,1.7,45.7,220.0,4.8,1.3,84.0,482.0,5.7,11.3,11.7,2.0,25.0,7.7,74.7,0.7,0.3,1.0
102,Indiana,2,33.0,29.5,50.5,58.4,281.5,2.0,38.0,173.5,4.6,2.0,88.5,455.0,5.1,10.5,10.5,3.0,24.0,5.0,38.0,0.0,0.0,0.0
103,Nebraska,3,33.0,28.7,41.3,69.4,302.7,2.0,30.7,143.7,4.7,1.3,72.0,446.3,6.2,13.3,8.0,1.3,22.7,8.0,63.7,0.7,1.0,1.7
104,North Texas,3,33.0,19.3,36.3,53.2,257.0,3.0,41.3,143.3,3.5,1.3,77.7,400.3,5.2,11.0,8.3,2.0,21.0,4.3,42.7,1.0,0.7,1.7
105,SMU,3,34.0,24.0,36.0,66.7,311.0,2.7,37.0,132.7,3.6,1.7,73.0,443.7,6.1,13.7,8.3,0.7,22.7,9.3,79.0,1.7,1.0,2.7
106,Boston College,3,34.3,13.3,28.3,47.1,150.0,1.0,46.0,279.0,6.1,3.0,74.3,429.0,5.8,7.3,11.0,1.0,19.3,6.0,51.7,0.3,0.7,1.0
107,Kansas,3,34.3,23.0,34.3,67.0,297.0,3.3,36.3,137.7,3.8,1.0,70.7,434.7,6.2,11.3,7.0,1.7,20.0,7.3,68.0,0.7,0.3,1.0
108,Louisiana Tech,3,34.3,19.3,31.7,61.1,204.7,1.7,38.0,203.7,5.4,2.3,69.7,408.3,5.9,9.3,12.0,1.0,22.3,5.3,38.3,0.3,1.0,1.3
109,North Carolina,3,35.0,21.0,36.3,57.8,323.3,3.0,37.3,173.3,4.6,1.3,73.7,496.7,6.7,12.3,8.7,1.7,22.7,5.7,47.0,0.3,1.0,1.3
110,Western Michigan,3,35.0,17.3,26.7,65.0,226.3,1.3,39.0,232.7,6.0,3.3,65.7,459.0,7.0,9.7,11.0,0.7,21.3,6.0,56.0,1.0,1.3,2.3
111,Florida International,2,35.5,24.0,33.5,71.6,315.0,2.5,34.5,121.5,3.5,2.0,68.0,436.5,6.4,11.0,6.5,4.0,21.5,9.0,73.0,0.5,0.5,1.0
112,Kent State,3,36.0,19.3,33.3,58.0,253.7,1.3,41.0,250.0,6.1,3.7,74.3,503.7,6.8,10.7,10.3,4.7,25.7,8.3,84.7,0.3,1.0,1.3
113,Hawaii,3,36.3,23.0,34.7,66.3,313.7,2.7,38.3,153.0,4.0,2.0,73.0,466.7,6.4,13.7,9.3,2.0,25.0,7.7,70.7,1.0,0.7,1.7
114,Missouri,3,36.3,22.7,32.3,70.1,270.7,1.7,43.0,172.0,4.0,3.0,75.3,442.7,5.9,11.7,10.3,1.3,23.3,3.7,28.0,0.3,0.7,1.0
115,Georgia State,2,36.5,16.5,27.0,61.1,252.5,2.5,32.5,203.5,6.3,2.5,59.5,456.0,7.7,10.0,10.0,1.0,21.0,8.5,73.0,0.0,0.0,0.0
116,Louisville,3,36.7,28.3,42.7,66.4,331.0,2.7,30.7,121.7,4.0,1.7,73.3,452.7,6.2,15.7,6.7,1.7,24.0,5.0,49.7,0.3,1.0,1.3
117,Memphis,2,37.0,27.5,46.5,59.1,371.0,3.0,42.0,158.0,3.8,2.0,88.5,529.0,6.0,16.5,9.5,2.0,28.0,9.0,76.0,2.0,1.5,3.5
118,Arizona State,3,37.7,28.7,42.0,68.3,338.0,3.3,34.0,167.3,4.9,1.3,76.0,505.3,6.6,16.0,8.3,0.7,25.0,8.0,73.7,0.3,0.7,1.0
119,Pitt,3,37.7,19.7,32.3,60.8,349.0,3.3,27.3,132.7,4.9,1.3,59.7,481.7,8.1,11.7,7.7,0.7,20.0,3.3,30.0,0.3,1.0,1.3
120,Charlotte,3,38.0,18.3,26.7,68.8,238.3,0.3,43.7,198.3,4.5,3.3,70.3,436.7,6.2,10.0,12.3,0.7,23.0,7.0,63.0,0.7,0.3,1.0
121,Rice,3,38.0,24.3,36.0,67.6,308.7,2.0,32.3,147.7,4.6,3.0,68.3,456.3,6.7,13.0,8.0,1.0,22.0,2.7,20.0,0.3,0.0,0.3
122,UCLA,3,38.3,18.7,36.0,51.9,240.3,2.7,47.3,275.0,5.8,2.0,83.3,515.3,6.2,10.7,9.7,4.3,24.7,8.0,76.0,0.3,1.0,1.3
123,Utah State,3,39.3,16.0,27.0,59.3,243.7,2.0,47.3,212.7,4.5,2.7,74.3,456.3,6.1,10.3,9.3,2.3,22.0,7.7,60.3,0.7,0.7,1.3
124,Bowling Green State,3,39.7,21.7,33.7,64.4,310.3,2.0,47.0,244.0,5.2,3.3,80.7,554.3,6.9,12.7,13.7,2.3,28.7,6.3,44.7,2.0,0.0,2.0
125,San Jose State,4,41.3,15.8,27.3,57.8,207.0,1.8,58.5,269.3,4.6,3.3,85.8,476.3,5.6,9.3,15.5,1.5,26.3,6.3,47.5,1.3,0.3,1.5
126,Oregon State,4,47.5,22.8,33.3,68.4,286.8,3.0,42.8,198.8,4.6,2.8,76.0,485.5,6.4,14.0,11.5,1.8,27.3,6.5,54.3,0.8,0.8,1.5
127,UTEP,3,50.0,20.7,25.7,80.5,267.3,2.7,50.3,280.3,5.6,4.0,76.0,547.7,7.2,13.3,15.7,0.7,28.7,4.0,37.0,0.7,0.0,0.7
128,East Carolina,3,51.3,21.3,29.7,71.9,327.7,3.7,51.0,308.3,6.0,3.3,80.7,636.0,7.9,14.0,15.0,2.0,29.3,8.3,98.7,0.3,0.3,0.7
129,Tulsa,3,51.7,21.3,31.0,68.8,358.3,3.7,37.0,280.0,7.6,3.0,68.0,638.3,9.4,13.3,11.7,1.7,26.7,9.0,93.0,0.7,1.0,1.7
130,Louisiana-Lafayette,3,53.0,16.7,26.3,63.3,238.3,2.3,54.7,327.7,6.0,4.3,81.0,566.0,7.0,10.3,16.3,1.3,28.0,5.7,46.7,1.0,0.7,1.7
