,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
93,Oregon State,4,24.8,21.5,34.5,62.3,220.8,1.3,30.0,135.3,4.5,1.8,64.5,356.0,5.5,11.0,6.8,1.3,19.0,5.8,61.8,2.0,1.0,3.0
94,Kentucky,3,24.7,14.3,23.3,61.4,191.3,0.7,40.3,156.3,3.9,1.7,63.7,347.7,5.5,8.7,7.7,2.3,18.7,6.0,43.3,0.7,0.3,1.0
95,Miami (OH),3,24.7,16.7,32.3,51.5,221.3,2.0,41.0,117.0,2.9,1.0,73.3,338.3,4.6,10.0,8.3,1.0,19.3,5.7,49.3,1.3,0.7,2.0
96,Troy,3,24.7,25.0,39.0,64.1,259.7,0.3,33.7,170.0,5.0,2.7,72.7,429.7,5.9,12.0,9.3,2.3,23.0,9.0,77.0,0.7,0.7,1.3
97,Idaho,3,24.0,17.3,26.3,65.8,217.7,2.0,38.0,162.0,4.3,1.3,64.3,379.7,5.9,7.3,8.7,1.0,17.0,4.3,34.7,1.0,1.3,2.3
98,Marshall,3,24.0,23.0,38.7,59.5,260.3,1.3,27.7,106.0,3.8,0.7,66.3,366.3,5.5,11.0,6.3,1.7,19.0,7.7,68.0,0.7,1.0,1.7
99,Nevada,3,24.0,18.0,35.7,50.5,227.0,2.3,35.3,156.3,4.4,0.7,71.0,383.3,5.4,10.0,9.0,3.3,22.0,7.3,67.3,1.3,1.0,2.3
100,Auburn,3,23.7,20.0,29.0,69.0,209.0,0.7,46.0,178.3,3.9,2.0,75.0,387.3,5.2,8.7,11.3,1.0,21.3,5.0,50.0,2.0,0.7,2.7
101,Old Dominion,3,23.7,15.0,29.0,51.7,190.0,1.3,37.3,132.3,3.5,1.3,66.3,322.3,4.9,7.0,6.3,2.3,15.7,3.3,28.3,0.7,1.0,1.7
102,Utah State,3,23.7,22.3,36.7,60.9,261.7,1.0,35.7,127.3,3.6,1.3,72.3,389.0,5.4,11.7,6.3,1.0,19.0,7.3,60.0,0.7,1.7,2.3
103,Louisiana-Monroe,2,23.0,16.0,32.0,50.0,195.5,1.0,43.0,182.0,4.2,2.0,75.0,377.5,5.0,9.0,10.0,1.5,20.5,6.5,53.5,2.0,0.5,2.5
104,Massachusetts,4,22.8,23.5,38.8,60.6,322.5,1.5,34.0,88.5,2.6,1.8,72.8,411.0,5.6,14.5,6.3,1.3,22.0,5.3,51.8,1.0,0.3,1.3
105,Connecticut,2,22.5,23.0,33.5,68.7,252.5,1.5,39.0,183.5,4.7,2.0,72.5,436.0,6.0,10.0,8.0,2.5,20.5,2.5,22.5,1.5,0.5,2.0
106,Illinois,3,22.3,14.7,28.0,52.4,179.7,0.7,31.7,110.3,3.5,1.7,59.7,290.0,4.9,7.0,6.7,2.3,16.0,9.0,87.7,0.0,1.7,1.7
107,Akron,3,22.0,19.3,33.0,58.6,192.0,1.0,34.0,126.0,3.7,1.7,67.0,318.0,4.7,9.7,7.7,2.0,19.3,9.0,97.7,0.3,1.0,1.3
108,Florida,2,21.5,16.0,27.0,59.3,196.5,1.0,28.0,89.5,3.2,0.0,55.0,286.0,5.2,7.5,4.0,0.5,11.5,6.5,41.5,2.5,0.5,3.0
109,Pitt,3,21.0,20.3,33.3,61.0,205.0,0.7,44.0,155.3,3.5,1.7,77.3,360.3,4.7,9.3,12.7,0.7,21.7,4.0,35.0,0.7,1.3,2.0
110,Cincinnati,3,20.3,18.7,37.0,50.5,168.3,1.7,31.3,101.3,3.2,0.7,68.3,269.7,3.9,7.7,6.3,2.3,16.3,5.7,53.0,0.0,1.3,1.3
111,Temple,3,20.3,21.0,36.0,58.3,262.3,1.7,32.7,94.3,2.9,0.3,68.7,356.7,5.2,12.3,4.7,1.3,18.3,7.0,58.3,0.3,0.0,0.3
112,Eastern Michigan,2,20.0,20.5,34.0,60.3,263.5,0.5,38.0,120.0,3.2,1.0,72.0,383.5,5.3,11.5,6.0,1.5,19.0,9.5,81.5,1.0,0.5,1.5
