,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Player,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Patrick Mahomes\patrick-mahomes-1,388,591,65.7,5052,8.5,9.2,41,10,157.0
2,Nic Shimonek\nic-shimonek-1,38,58,65.5,464,8.0,9.3,6,1,163.4
3,Cameron Batson\cameron-batson-1,1,2,50.0,25,12.5,12.5,0,0,155.0
4,Michael Barden\michael-barden-1,1,1,100.0,15,15.0,15.0,0,0,226.0
