,,Tackles,Tackles,Tackles,Tackles,Tackles,Def Int,Def Int,Def Int,Def Int,Def Int,Fumbles,Fumbles,Fumbles,Fumbles
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Jah'Shawn Johnson\jahshawn-johnson-1,5,2,7,0.5,0.0,,,,,1,,,,1
2,Jordyn Brooks\jordyn-brooks-1,4,3,7,0.0,0.0,,,,,,,,,
3,Dakota Allen\dakota-allen-1,2,4,6,0.5,0.0,,,,,,,,,
4,Brayden Stringer\brayden-stringer-1,4,1,5,0.0,0.0,,,,,,,,,
5,Octavious Morgan\octavious-morgan-1,3,1,4,0.0,0.0,,,,,1,,,,
6,Vaughnte Dorsey\vaughnte-dorsey-1,3,0,3,0.0,0.0,,,,,,,,,
7,Lonzell Gilmore\lonzell-gilmore-1,3,0,3,1.0,0.0,,,,,,,,,
8,D.J. Polite-Bray\dj-polite-bray-1,3,0,3,0.0,0.0,,,,,,,,,
9,Mychealon Thomas\mychealon-thomas-1,0,3,3,0.5,0.0,,,,,,,,,
10,Tony Jones\tony-jones-169,1,1,2,1.0,1.0,1,2,2.0,0,0,,,,
11,Willie Sykes\willie-sykes-1,0,2,2,0.0,0.0,1,33,33.0,1,1,,,,
12,Kisean Allen\kisean-allen-1,1,1,2,0.0,0.0,,,,,,,,,
13,Riko Jeffers\riko-jeffers-1,2,0,2,0.0,0.0,,,,,,,,,
14,Desmon Smith\desmon-smith-1,2,0,2,0.0,0.0,,,,,,,,,
15,Douglas Coleman\douglas-coleman-1,1,0,1,0.0,0.0,,,,,,1,,,0
16,Cameron Batson\cameron-batson-1,1,0,1,1.0,0.0,,,,,,,,,
17,Kolin Hill\kolin-hill-1,1,0,1,1.0,0.0,,,,,,,,,
18,Eli Howard\eli-howard-1,0,1,1,0.0,0.0,,,,,,,,,
19,Tre King\tre-king-1,1,0,1,0.0,0.0,,,,,,,,,
20,Jaylon Lane\jaylon-lane-1,1,0,1,0.0,0.0,,,,,,,,,
21,Taylor Nunez\taylor-nunez-1,0,1,1,0.0,0.0,,,,,,,,,
22,Jake Parker\jake-parker-1,1,0,1,0.0,0.0,,,,,,,,,
23,Mason Reed\mason-reed-1,1,0,1,0.0,0.0,,,,,,,,,
24,Christian Taylor\christian-taylor-3,0,1,1,0.5,0.0,,,,,,,,,
25,Trevor Walker\trevor-walker-2,0,1,1,0.0,0.0,,,,,,,,,
26,Joseph Wallace\joseph-wallace-1,1,0,1,0.0,0.0,,,,,,,,,
27,Quentin Yontz\quentin-yontz-1,1,0,1,1.0,0.0,,,,,,,,,
