,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Split,G,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
Offense,2,34.0,42.5,80.0,496.0,5.0,34.5,124.5,3.6,2.0,77.0,620.5,8.1,22.0,9.0,2.0,33.0,8.5,93.5,0.5,0.0,0.5
Defense,2,25.0,38.5,64.9,273.0,2.0,40.0,124.5,3.1,1.5,78.5,397.5,5.1,13.0,9.0,3.0,25.0,4.5,46.0,1.0,1.0,2.0
Difference,,+9.0,+4.0,+15.1,+223.0,+3.0,-5.5,0.0,+0.5,+0.5,-1.5,+223.0,+3.0,+9.0,0.0,-1.0,+8.0,+4.0,+47.5,-0.5,-1.0,-1.5
