,,Kick Ret,Kick Ret,Kick Ret,Kick Ret,Punt Ret,Punt Ret,Punt Ret,Punt Ret
Rk,Player,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Cameron Batson\cameron-batson-1,,,,,3,12,4.0,0
2,Ja'Deion High\jadeion-high-1,,,,,1,11,11.0,0
