,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,Punting,Punting,Punting
Rk,Player,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg
1,Michael Barden\michael-barden-1,2,2,100.0,1,1,100.0,5,,,
2,Michael Ewton\michael-ewton-1,8,8,100.0,0,0,,8,,,
3,Clayton Hatfield\clayton-hatfield-1,5,5,100.0,0,0,,5,,,
4,Dominic Panazzolo\dominic-panazzolo-1,,,,,,,,6,228,38.0
